category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Capital Spice Combo,₹478,,"Cool coffee meets spicy cheese, its perfect contrast, perfect bite.",Veg,,,,Check app
Recommended,,Double Decker Titans Feast,₹927,,"Strong brews, stacked bites built for serious fans and long innings.",Non-Veg,,,,Check app
Recommended,,Green Royal Bite,₹508,,"Wholesome, cheesy, and energizing your all-rounder pick.",Veg,,,,Check app
Recommended,,Knight Bite Combo,₹488,,Take a breather with a chilled frappe and crispy garlic goodness.,Veg,,,,Check app
Recommended,,Matcha Sunrise Feast,₹608,,"Fruity freshness meets spicy punch, unexpected.",Veg,,,,Check app
Recommended,,Royal Dessert Combo,₹628,,"Deep, rich, and indulgent dessert that wins every time.",Veg,,,,Check app
CCD CHILLAX T20 LEAGUE,,Royal Tikka Feast,₹459,,Combo of cappuccino and paneer tikka chipotle sandwich,Veg,5.0,1,,Check app
CCD CHILLAX T20 LEAGUE,,Croissant Super Kings,₹418,,"Smooth espresso based cappuccino with silky milk foam, matched with a light, flaky Signature Croissant for a simple yet satisfying cafe treat",Veg,,,,Check app
CCD CHILLAX T20 LEAGUE,,Capital Spice Combo,₹478,,"Cool coffee meets spicy cheese, its perfect contrast, perfect bite.",Veg,,,,Check app
CCD CHILLAX T20 LEAGUE,,Double Decker Titans Feast,₹927,,"Strong brews, stacked bites built for serious fans and long innings.",Non-Veg,,,,Check app
CCD CHILLAX T20 LEAGUE,,Green Royal Bite,₹508,,"Wholesome, cheesy, and energizing your all-rounder pick.",Veg,,,,Check app
CCD CHILLAX T20 LEAGUE,,Knight Bite Combo,₹488,,Take a breather with a chilled frappe and crispy garlic goodness.,Veg,,,,Check app
CCD CHILLAX T20 LEAGUE,,Matcha Sunrise Feast,₹608,,"Fruity freshness meets spicy punch, unexpected.",Veg,,,,Check app
CCD CHILLAX T20 LEAGUE,,Royal Dessert Combo,₹628,,"Deep, rich, and indulgent dessert that wins every time.",Veg,,,,Check app
CCD CHILLAX T20 LEAGUE,,Smoky Power Hit,₹538,,"Chill coffee, smoky bites made for those clutch hunger moments",Veg,,,,Check app
CCD CHILLAX T20 LEAGUE,,Sweet King Feast,₹518,,Gooey brownie with hot chocolate and comfort food for every match mood.,Veg,,,,Check app
SUMMER SPECIALS,,Classic Cold Brew,₹269,,"For those who always stay cool. Slow-steeped, smooth coffee. Serving Size(gm/ml) - 350ml, Energy (kcal) - 8.76",Veg,,,,Check app
