category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Hot Beverages,,Hot Americano,₹257,,,Veg,,,,Check app
Hot Beverages,,Hot Flat White,₹322,,,Veg,,,,Check app
Hot Beverages,,Hot Latte,₹322,,,Veg,,,,Check app
Hot Beverages,,Hot Chocolate - 54%,₹257,,,Veg,,,,Check app
Hot Beverages,,Cappuccino,₹322,,Strong coffee,Veg,,,,Check app
Hot Beverages,,Macchiato,₹257,,,Veg,,,,Check app
Hot Beverages,,Cortado,₹257,,,Veg,,,,Check app
Hot Beverages,,Take Away Cup,₹10,,,Veg,,,,Check app
Hot Beverages,,White Hot Chocolate,₹322,,,Veg,,,,Check app
Hot Beverages,,Espresso,₹257,,Just espresso,Veg,,,,Check app
Hot Beverages,,Affogato,₹408,,Espresso with Ice cream,Veg,,,,Check app
Hot Beverages,,Hot Mocha,₹394,,,Veg,,,,Check app
Hot Beverages,,Piccolo,₹257,,,Veg,,,,Check app
Hot Beverages,,Raisin Hot Chocolate,₹257,,,Veg,,,,Check app
Hot Beverages,,White Chocolate Mocha,₹394,,,Veg,,,,Check app
Main Course,,Ramen Soup Bowl With Egg,₹350,,,Non-Veg,,,,Check app
Main Course,,Fritto Misto Veggies On Hummas Dip,₹350,,,Veg,,,,Check app
Main Course,,Moussaka,₹375,,Baked dish of layer of tomato sauce with grilled zuccini and eggplantand vegetable topped with layered of mosrella chese,Veg,,,,Check app
Main Course,,Cottage Cheese With Pepper Rice,₹350,,,Veg,,,,Check app
Main Course,,Veg Stroganoff,₹350,,,Veg,,,,Check app
Main Course,,Mushroom Stew With Mash & Veggies,₹350,,,Veg,,,,Check app
Main Course,,Mix Veg In Creamy Sauce With Herb Rice,₹350,,,Veg,,,,Check app
Main Course,,Ramen Soup Bowl With Tofu,₹300,,,Veg,,,,Check app
Starter,,Garlic Bread With Cheese,₹240,,Garlic and butter with yummy bread,Veg,,,,Check app
Starter,,Hash Brown,₹170,,,Veg,,,,Check app
