category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Sandwich,,Chicken Club Sandwich,₹220,,3 layer,Non-Veg,,,,Check app
Sandwich,,Veg Sandwich,₹140,,,Veg,,,,Check app
Sandwich,,Chicken Sandwich,₹150,,"Tender grilled chicken layered with fresh toppings between soft, toasted bread.",Non-Veg,,,,Check app
Sandwich,,Veg club sandwich,₹200,,3 layer,Veg,,,,Check app
Sandwich,,Zinger Sandwich,₹300,,,Non-Veg,,,,Check app
Sandwich,,Tandoori Chicken Sandwich,₹250,,"Juicy tandoori chicken nestled between two slices of soft bread, bursting with flavor and satisfaction.",Non-Veg,,,,Check app
Burger,,Chicken Burger,₹160,,,Non-Veg,,,,Check app
Burger,,Veg Burger,₹130,,"A flavorful and satisfying meatless option, perfect for burger lovers looking for a tasty vegetarian alternative.",Veg,,,,Check app
Burger,,Nuggets Burger,₹190,,,Veg,,,,Check app
Burger,,Sm spl burger ,₹250,,,Non-Veg,,,,Check app
Burger,,Ducker [Double],₹250,,,Veg,,,,Check app
Burger,,Zinger Burger,₹250,,,Veg,,,,Check app
Burger,,Grill Burger,₹250,,,Veg,,,,Check app
Burger,,Tandoori Burger,₹270,,,Veg,,,,Check app
Burger,,Al Faham Burger,₹300,,,Veg,,,,Check app
Al faham chicken,,Al Faham Chicken Full,₹700,,8 ps mayo and salad,Non-Veg,,,,Check app
Al faham chicken,,Al Faham chicken 2 ps,₹220,,2 ps mayo and salad,Non-Veg,,,,Check app
Al faham chicken,,Al Faham chicken half,₹380,,4 ps and mayo and salad,Non-Veg,,,,Check app
Starters,,Gobi Manchurian,₹130,,,Veg,,,,Check app
Starters,,Gobi Chill,₹130,,,Veg,,,,Check app
Starters,,Paneer Manchuria,₹230,,,Veg,,,,Check app
Starters,,Paneer chilli,₹230,,,Veg,,,,Check app
Starters,,Baby corn Manchuria,₹200,,,Veg,,,,Check app
Starters,,Chilli chicken,₹230,,,Non-Veg,,,,Check app
Starters,,Chicken Manchuria,₹230,,,Non-Veg,,,,Check app
Starters,,Chicken 65 gravy,₹250,,,Non-Veg,,,,Check app
Starters,,Garlic chicken,₹250,,,Non-Veg,,,,Check app
Milk shake,,Dry fruit milk shake,₹250,,,Veg,,,,Check app
Milk shake,,Badam Milk Shake,₹250,,,Veg,,,,Check app
Milk shake,,Musk melon milk shake,₹130,,,Veg,,,,Check app
Milk shake,,Chikko milk shake,₹140,,,Veg,,,,Check app
Milk shake,,Sm malai milk shake,₹230,,,Veg,,,,Check app
Milk shake,,Vanilla milk shake,₹140,,,Veg,,,,Check app
Milk shake,,Strawberry milk shake,₹150,,,Veg,,,,Check app
Milk shake,,Sharja milk shake,₹150,,,Veg,,,,Check app
Milk shake,,Chocolate Milk Shake,₹160,,,Veg,,,,Check app
Shawarma,,Rolls,₹150,,,Veg,,,,Check app
Shawarma,,Spel Rolls,₹180,,Delicious vegetable shawarma rolls filled with flavorful seasonings and toppings.,Veg,,,,Check app
Shawarma,,Plate,₹240,,,Non-Veg,,,,Check app
Shawarma,,Spel Plate,₹260,,,Veg,,,,Check app
Fresh juice,,Water Melon,₹100,,,Veg,,,,Check app
Fresh juice,,Musk Melon,₹100,,,Veg,,,,Check app
Fresh juice,,Grape,₹100,,,Veg,,,,Check app
Fresh juice,,Chikoo,₹110,,,Veg,,,,Check app
Chines food,,Veg Noodles,₹150,,,Veg,,,,Check app
Chines food,,Chicken Noodles,₹220,,,Non-Veg,,,,Check app
Chines food,,Egg Noodles,₹160,,,Non-Veg,,,,Check app
Tandoori chicken,,Thandoori chicken full,₹700,,8 ps mayo and salad,Non-Veg,,,,Check app
Tandoori chicken,,Thandoori chicken half,₹330,,4 ps mayo and salad,Non-Veg,,,,Check app
Tandoori chicken,,Thandoori chicken 2 ps,₹200,,2 ps chicken and mayo with salad,Non-Veg,,,,Check app
Fries,,French Fries,₹150,,Crispy golden fries that are the perfect combination of salty and satisfying.,Veg,,,,Check app
Fries,,Peri Peri Fries,₹170,,Crispy fries with a zesty and flavorful seasoning that will tantalize your taste buds.,Veg,,,,Check app
Roll,,Veg Roll,₹120,,,Veg,,,,Check app
