category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Chinese,,Gobi Fried Rice,₹135,,,Veg,3.8,15,,Check app
Chinese,,Gobi Noodles,₹135,,,Veg,4.1,10,,Check app
Chinese,,Veg Fried Rice,₹120,,,Veg,4.0,5,,Check app
Chinese,,Paneer Fried Rice,₹160,,,Veg,,,,Check app
Chinese,,Mushroom Fried Rice,₹140,,,Veg,,,,Check app
Chinese,,Veg Noodles,₹120,,,Veg,3.7,7,,Check app
Chinese,,Chilly Idly,₹120,,,Veg,,,,Check app
Chinese,,Gobi Manchurian,₹130,,,Veg,,,,Check app
Chinese,,Ghee Rice,₹94,,,Veg,,,,Check app
Chinese,,Paneer Manchurian,₹140,,,Veg,4.6,12,,Check app
Chinese,,Lemon Paneer,₹229,,,Veg,,,,Check app
Chinese,,Babycorn Manchurian,₹130,,,Veg,,,,Check app
Chinese,,Paneer Chilly,₹150,,,Veg,4.8,7,,Check app
Chinese,,Paneer Pepperdry,₹150,,,Veg,,,,Check app
Chinese,,Mushroom Pepperdry,₹165,,,Veg,,,,Check app
Chinese,,Gobi Chilly,₹135,,,Veg,,,,Check app
Chinese,,Mushroom Noodles,₹145,,,Veg,,,,Check app
Chinese,,Mushroom Chilly,₹155,,,Veg,,,,Check app
Chinese,,Mushroom Kabab,₹180,,,Veg,,,,Check app
Chinese,,Schzwen Fried Rice,₹148,,,Veg,,,,Check app
Chinese,,Paneer Noodles,₹160,,,Veg,,,,Check app
Chinese,,Babycorn Pepperdry,₹150,,,Veg,,,,Check app
Chinese,,Paneer Kabab,₹210,,,Veg,,,,Check app
Chinese,,Babycorn Chilly,₹135,,,Veg,,,,Check app
Chinese,,Mushroom Manchurian,₹140,,,Veg,,,,Check app
Chinese,,Lemon Idly,₹108,,,Veg,,,,Check app
Chinese,,Schzwen Noodles,₹148,,,Veg,,,,Check app
Chinese,,Tomato Idly Chilli,₹135,,,Veg,,,,Check app
Chinese,,Gobi Pepperdry,₹135,,,Veg,,,,Check app
Chinese,,Jeera Rice,₹100,,,Veg,,,,Check app
Chinese,,Veg Tawa Pulao,₹120,,,Veg,,,,Check app
Dosa,,Ghee Pudi Masala Dosa,₹160,,,Veg,4.8,17,,Check app
Dosa,,Ghee Set Dosa,₹145,,,Veg,4.6,57,,Check app
Dosa,,Ghee Masala Dosa,₹119,,,Veg,4.5,79,,Check app
Dosa,,Ghee Rava Dosa,₹145,,,Veg,4.4,6,,Check app
Dosa,,Ghee Plain Dosa,₹102,,,Veg,3.6,13,,Check app
Dosa,,Ghee Rava Masala Dosa,₹160,,,Veg,4.2,3,,Check app
Dosa,,Ghee Rava Onion Dosa,₹150,,,Veg,4.4,3,,Check app
Dosa,,Ghee Pudi Plain Dosa,₹130,,,Veg,,,,Check app
Dosa,,Ghee Mysore Masala Dosa,₹145,,,Veg,4.5,4,,Check app
Dosa,,Ghee Onion Dosa [2 pieces],₹160,,,Veg,4.4,10,,Check app
Dosa,,Ghee Open Butter Masala Dosa,₹150,,,Veg,5.0,8,,Check app
Dosa,,Ghee Pudi Kali Dosa [2 pieces],₹145,,,Veg,,,,Check app
Dosa,,Ghee Kali Dosa [2 pieces],₹120,,,Veg,4.7,29,,Check app
Dosa,,Khali Dosa With Avarekalu Curry,₹160,,,Veg,4.1,5,,Check app
Dosa,,Ghee Pudi Onion Dosa [2 pieces],₹180,,,Veg,,,,Check app
Dosa,,Ghee Pudi Rava Onion Masala,₹200,,,Veg,3.8,5,,Check app
Dosa,,Akki Roti (2pc),₹120,,,Veg,5.0,3,,Check app
Dosa,,Ragi Masala Dosa,₹150,,,Veg,,,,Check app
Dosa,,Paneer Dosa,₹200,,,Veg,,,,Check app
Dosa,,Palak Dosa,₹150,,,Veg,,,,Check app
Dosa,,Ragi Roti (2pc),₹120,,,Veg,5.0,3,,Check app
Dosa,,Multigrain Dosa(2pc),₹150,,,Veg,,,,Check app
Dosa,,Neer Dosa 1 Pc,₹90,,,Veg,,,,Check app
Dosa,,Cucumber Dosa(2pc),₹150,,,Veg,,,,Check app
Dosa,,Pineapple Dosa(2pc),₹150,,,Veg,,,,Check app
Dosa,,Tomato Dosa,₹150,,,Veg,,,,Check app
Hot Beverages,,Tea,₹35,,,Veg,,,,Check app
Hot Beverages,,Coffee,₹59,,,Veg,4.7,3,,Check app
Hot Beverages,,Coffee 3 Cup,₹125,,,Veg,,,,Check app
Hot Beverages,,Coffee 2 Cup,₹93,,,Veg,,,,Check app
Hot Beverages,,Ginger Tea,₹59,,,Veg,4.1,5,,Check app
Hot Beverages,,Ginger Tea 2 Cup,₹105,,,Veg,,,,Check app
Hot Beverages,,Boost 2 Cup,₹120,,,Veg,,,,Check app
Hot Beverages,,Jaggery Tea 3 Cup,₹125,,,Veg,,,,Check app
Hot Beverages,,Jaggery Coffee 3 Cup,₹125,,,Veg,,,,Check app
Hot Beverages,,Tea 2 Cup,₹79,,,Veg,,,,Check app
Hot Beverages,,Jaggery Coffee 2 Cup,₹93,,,Veg,,,,Check app
Hot Beverages,,Horlicks,₹70,,,Veg,,,,Check app
Hot Beverages,,Ginger Tea 3 Cup,₹140,,,Veg,,,,Check app
Hot Beverages,,Boost,₹70,,,Veg,,,,Check app
Hot Beverages,,Jaggary Coffee,₹59,,,Veg,,,,Check app
Hot Beverages,,Jaggery Tea 2 Cup,₹93,,,Veg,,,,Check app
Hot Beverages,,Ginger Coffee 3 Cup,₹125,,,Veg,,,,Check app
Hot Beverages,,Boost 3 Cup,₹165,,,Veg,,,,Check app
Hot Beverages,,Tea 3 Cup,₹105,,,Veg,,,,Check app
Hot Beverages,,Ginger Coffee,₹59,,,Veg,,,,Check app
Hot Beverages,,Jaggery Tea,₹59,,,Veg,,,,Check app
Hot Beverages,,Horlicks 2 Cup,₹120,,,Veg,,,,Check app
Hot Beverages,,Ginger Coffee 2 Cup,₹93,,,Veg,,,,Check app
Hot Beverages,,Plain Milk 2 Cup,₹79,,,Veg,,,,Check app
Hot Beverages,,Badam Milk,₹65,,,Veg,,,,Check app
Hot Beverages,,Black Tea 2 Cup,₹93,,,Veg,,,,Check app
Hot Beverages,,Badam Milk 2 Cup,₹106,,,Veg,,,,Check app
Hot Beverages,,Plain Milk 3 Cup,₹105,,,Veg,,,,Check app
Hot Beverages,,Plain Milk,₹52,,,Veg,,,,Check app
Hot Beverages,,Black Coffee,₹59,,,Veg,,,,Check app
Hot Beverages,,Black Tea,₹35,,,Veg,,,,Check app
Hot Beverages,,Lemon Tea,₹59,,,Veg,,,,Check app
Hot Beverages,,Badam Milk 3 Cup,₹145,,,Veg,,,,Check app
Hot Beverages,,Black Coffee 3 Cup,₹125,,,Veg,,,,Check app
Hot Beverages,,Black Tea 3 Cup,₹125,,,Veg,,,,Check app
Hot Beverages,,Lemon Tea 3 Cup,₹125,,,Veg,,,,Check app
Breakfast,,Thatte Idli,₹45,,,Veg,4.5,68,,Check app
Breakfast,,Idli Vada,₹120,,,Veg,4.2,45,,Check app
Breakfast,,Ghee Pudi Thatte Idli,₹120,,,Veg,4.8,30,,Check app
Breakfast,,Poori Saagu,₹135,,,Veg,4.4,34,,Check app
Breakfast,,Rava Idli,₹80,,,Veg,4.6,24,,Check app
Breakfast,,Curd Vada,₹80,,,Veg,4.6,23,,Check app
Breakfast,,Khara Bath,₹80,,,Veg,4.6,14,,Check app
Breakfast,,Ghee Pudi Button Idly (10pc),₹135,,,Veg,,,,Check app
Breakfast,,Kesari Bath,₹80,,,Veg,4.4,12,,Check app
Breakfast,,Ghee Button Idly Dip Sambar,₹120,,,Veg,4.1,33,,Check app
Breakfast,,Mangalore Buns 2pc,₹120,,,Veg,4.5,18,,Check app
Breakfast,,Idli [2 Pieces],₹65,,,Veg,4.3,74,,Check app
Breakfast,,Single Idli Single Vada,₹90,,,Veg,3.8,18,,Check app
Breakfast,,Vada [1 Piece],₹60,,,Veg,4.2,85,,Check app
Breakfast,,Ghee Pudi Idly,₹125,,,Veg,,,,Check app
Breakfast,,Chow Chow Bath,₹145,,,Veg,4.8,7,,Check app
Breakfast,,Poori With Avarekalu Curry,₹160,,,Veg,,,,Check app
Snack,,Paddu (8pc),₹100,,,Veg,3.6,3,,Check app
Snack,,Pheni With Badam Milk,₹95,,,Veg,,,,Check app
Snack,,Maddur Vada [2 pieces],₹54,,,Veg,3.6,9,,Check app
Snack,,Mysorepak 500gm,₹430,,,Veg,,,,Check app
Snack,,Masala Mix Bajji (4pc),₹94,,,Veg,,,,Check app
Snack,,Onion Pakoda,₹94,,,Veg,3.9,4,,Check app
Snack,,Holige 2pc,₹80,,,Veg,,,,Check app
Snack,,Bajji (4 Pc),₹81,,,Veg,,,,Check app
Snack,,Bonda Soup [2 pieces],₹90,,,Veg,4.9,9,,Check app
Snack,,Masala Vada [4 pieces],₹80,,,Veg,4.1,4,,Check app
Snack,,Mysore Pak 2pc,₹80,,,Veg,,,,Check app
Snack,,Aloo Bonda [4 pieces],₹80,,,Veg,3.8,4,,Check app
Snack,,Gulab Jamun [2 Pieces],₹80,,,Veg,,,,Check app
Snack,,Kasi Halwa,₹92,,,Veg,,,,Check app
Snack,,Carrot Halwa,₹81,,,Veg,,,,Check app
Snack,,Mysore Pak 250gm,₹215,,,Veg,,,,Check app
Snack,,Bread Pakoda (2pc),₹65,,,Veg,,,,Check app
Snack,,Kajjaya (2pc),₹65,,,Veg,,,,Check app
Snack,,Benne Muruku(100grams),₹80,,,Veg,,,,Check app
Fresh Juice,,Watermelon Juice,₹60,,,Veg,,,,Check app
Fresh Juice,,Orange Juice,₹94,,,Veg,,,,Check app
Fresh Juice,,Cold Coffee,₹148,,,Veg,,,,Check app
Fresh Juice,,Mango Juice,₹108,,,Veg,,,,Check app
Fresh Juice,,Moosambi Soiled,₹135,,,Veg,,,,Check app
Fresh Juice,,Lemon Juice,₹67,,,Veg,,,,Check app
Fresh Juice,,Cold Badam Milk,₹135,,,Veg,,,,Check app
Fresh Juice,,Apple Juice,₹108,,,Veg,,,,Check app
Fresh Juice,,Papaya,₹94,,,Veg,,,,Check app
Fresh Juice,,Pomogranet,₹108,,,Veg,,,,Check app
Fresh Juice,,Musambi Juice,₹94,,,Veg,,,,Check app
Fresh Juice,,Fresh Lime Mint,₹74,,,Veg,,,,Check app
Fresh Juice,,Masala Soda,₹81,,,Veg,,,,Check app
Fresh Juice,,Beetroot Lime,₹94,,,Veg,,,,Check app
Fresh Juice,,Muskmelon,₹94,,,Veg,,,,Check app
Fresh Juice,,Pineapple Juice,₹94,,,Veg,,,,Check app
Fresh Juice,,Lemon Soda,₹74,,,Veg,,,,Check app
Fresh Juice,,Carrot,₹94,,,Veg,,,,Check app
Fresh Juice,,Greaps,₹94,,,Veg,,,,Check app
Rice Item,,Ghee Pongal,₹120,,,Veg,4.5,39,,Check app
Rice Item,,Ghee Bisibelebath,₹120,,,Veg,4.4,35,,Check app
Rice Item,,Rice Bath,₹105,,,Veg,4.4,5,,Check app
Rice Item,,Curd Rice,₹105,,,Veg,4.8,16,,Check app
Rice Item,,Puliyogare,₹105,,,Veg,2.5,3,,Check app
Rice Item,,Jaggery Pongal,₹105,,,Veg,,,,Check app
Rice Item,,Shavige Bath,₹93,,,Veg,,,,Check app
Rice Item,,Lemon Rice,₹105,,,Veg,3.5,4,,Check app
Rice Item,,Mushroom Biriyani,₹145,,,Veg,,,,Check app
Rice Item,,Veg Biriyani,₹80,,,Veg,,,,Check app
Rice Item,,Mango Rice,₹105,,,Veg,,,,Check app
Rice Item,,Drumstick Biriyani,₹120,,,Veg,,,,Check app
Lunch,,Meals,₹160,,,Veg,5.0,5,,Check app
Lunch,,Chole Batura (2pc),₹180,,,Veg,,,,Check app
Lunch,,Mini Meal,₹105,,,Veg,4.5,9,,Check app
Lunch,,Chapati With Tomato Curry (2pc),₹94,,,Veg,,,,Check app
Lunch,,Holige Meal,₹216,,,Veg,,,,Check app
Lunch,,Chole Batura (1pc),₹105,,,Veg,,,,Check app
Lunch,,Andhra Meals [ltd],₹135,,,Veg,,,,Check app
Lunch,,Parota 2pcs With Chana Masala,₹135,,,Veg,,,,Check app
Lunch,,Mudde Meals,₹135,,,Veg,,,,Check app
Milkshakes,,Butter Fruit Milkshake,₹135,,,Veg,,,,Check app
Milkshakes,,Chocolate Milkshake,₹121,,,Veg,,,,Check app
Milkshakes,,Strawberry Milkshake,₹121,,,Veg,,,,Check app
Milkshakes,,Kitkat Milkshake,₹135,,,Veg,,,,Check app
Milkshakes,,Sapota Milkshake,₹121,,,Veg,,,,Check app
Milkshakes,,Vanilla Milkshake,₹108,,,Veg,,,,Check app
Milkshakes,,Bannana Milkshake,₹108,,,Veg,,,,Check app
Milkshakes,,Apple Milkshake,₹121,,,Veg,,,,Check app
Milkshakes,,Dray Fruit Milkshake,₹148,,,Veg,,,,Check app
Milkshakes,,Mango Milkshake,₹108,,,Veg,,,,Check app
Milkshakes,,Musk Melon Milkshake,₹121,,,Veg,,,,Check app
Milkshakes,,Oreo Milkshake,₹135,,,Veg,,,,Check app
Milkshakes,,Pomogranet Milkshake,₹121,,,Veg,,,,Check app
Lassi,,Punjabi Lassi,₹108,,,Veg,,,,Check app
Lassi,,Sweet Lassi,₹81,,,Veg,,,,Check app
Lassi,,Mango Lassi,₹94,,,Veg,,,,Check app
Lassi,,Salt Lassi,₹81,,,Veg,,,,Check app
Lassi,,Strawberry Lassi,₹94,,,Veg,,,,Check app
Sandwich,,Veg Cheese Sandwich,₹148,,,Veg,,,,Check app
Sandwich,,Peri Peri Paneer,₹162,,,Veg,,,,Check app
Sandwich,,Veg Sandwich,₹121,,,Veg,,,,Check app
Sandwich,,Corn Sandwich,₹162,,,Veg,,,,Check app
Sandwich,,Fruit Sandwich,₹175,,,Veg,,,,Check app
Salads,,Fruit Bowl,₹90,,,Veg,,,,Check app
Salads,,Corn Salad,₹80,,,Veg,,,,Check app
Salads,,Protein Salad,₹80,,,Veg,,,,Check app
Pasta,,Alfredo (white Pasta),₹110,,,Veg,,,,Check app
Pasta,,Arabiata (red Pasta),₹110,,,Veg,,,,Check app
Pasta,,Pink Pasta,₹120,,,Veg,,,,Check app
