category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Vegan Burgers,,Ashish'S Tempeh Burger [~9g Protein],₹399,,Very Spicy | Mix Veg Patty with Marinated Tempeh with Veggies and in-house Bun | 100% Vegan | Protein: 9gm,Veg,,,,Check app
Vegan Burgers,,Jain Burger [~17g Protein],₹349,,"Very Spicy | Crumbled Tofu mixed with spices and veggies, stuffed in Vegan Burger Bun  [100% Jain | 100% Vegan] [Allergen info: Contains Soy, Gluten] [~17g Protein]",Veg,,,,Check app
Vegan Burgers,,Sunil'S Tofu Burger [~17g Protein],₹399,,Medium Spicy | Mix Veg Patty with Crumbled Tofu Veggies and in-house Bun . 100% Vegan | 17.5g Protein,Veg,,,,Check app
Vegan Burgers,,Cheese Burger,₹299,,"Classic Veg Burger made with soft in-house bun, crispy air-fried mixed veg patty and a Slice of Plant Based Vegan Cashew Cheese Slice [100% Vegan | No Onions No Garlic]",Veg,5.0,18,,Check app
Cold Beverages [with Vegan Milk],Blended Cold Coffee [with Vegan Milk],Cold Coffee,₹299,,"250 ml | Blended Vegan Coffee Milkshake Beverage. Our Signature Mylkshake is made with Plant Based Milk, in-house Cold Brew",Veg,,,,Check app
Cold Beverages [with Vegan Milk],Blended Cold Coffee [with Vegan Milk],Iced Caramel Latte,₹299,,"250 ml | Blended Vegan Iced Coffee Milkshake Beverage with Cold Brew Coffee,  in-house Caramel & plant based Milk",Veg,,,,Check app
Cold Beverages [with Vegan Milk],Blended Cold Coffee [with Vegan Milk],Cold Brew Latte,₹249,,250 ml | Cold Brew made in-house with Single Origin Single Estate Coffee Beans and mixed with Plant based Vegan Milk. No Added Sugar. 100% Vegan,Veg,,,,Check app
Cold Beverages [with Vegan Milk],Blended Cold Coffee [with Vegan Milk],Mocha Frappe,₹299,,"250 ml | Blended Vegan Coffee Milkshake Beverage. Our Signature Mocha Frappe, Blended Coffee Drink made with Signature Mocha Sauce, Freshly Brewed Coffee and Chilled Plant Based Vegan Milk. No Extra Sugar Added. 100% Vegan",Veg,5.0,3,,Check app
Cold Beverages [with Vegan Milk],Blended Cold Coffee [with Vegan Milk],Iced Rose Latte,₹299,,"250 ml | Blended Vegan Iced Coffee Milkshake Beverage. Chill out with our Season's Limited Edition Vegan Iced Lattes. Vegan Iced Rose Latte is made with Rose Flowers Syrup, a Shot of Espresso and Plant Based Milk., No Sugar Added. Served in a Glass Bottle.",Veg,4.7,6,,Check app
Cold Beverages [with Vegan Milk],Signature Vegan Milkshakes,Banana Peanut Milkshake - Date Sweetened,₹249,,"250 ml | Total protein: ~13.6 g per serving | Date Sweetened. Blended Banana Fruit, Arabian Dates and Sugar free Peanut Butter with Plant Based Soy Milk. [Total protein: ~13.6 g ; Total calories: ~412 kcal; Total fat: ~18.4 g; Total carbs: ~56.0 g; Dietary fibre: ~8.0 g] 100% Vegan | Contains Soy | 100% Dairy Free",Veg,4.6,5,,Check app
Cold Beverages [with Vegan Milk],Signature Vegan Milkshakes,Classic Vanilla Milkshake,₹200,,"250 ml | Made of Plant Based Milk, Vanilla Syrup, and Vegan Vanilla Ice Cream blended together. 100% Vegan | 100% Vegetarian | Contains Soy | 100% Dairy Free",Veg,4.8,4,,Check app
Cold Beverages [with Vegan Milk],Signature Vegan Milkshakes,Whole Fruit Punch - Date Sweetened Milkshake,₹299,,"250 ml | Date Sweetened. Blended mixture of Plant based Vegan Milk, Ripen Bananas,  Strawberry Fruit and Dates. No Added Refined Sugar. 100% Vegan | 100% Vegetarian | Contains Soy | 100% Dairy Free",Veg,,,,Check app
Cold Beverages [with Vegan Milk],Signature Vegan Milkshakes,Rose Milkshake,₹200,,250 ml | Refreshing Rose Milkshake with Plant Based Milk. 100% Vegan | 100% Vegetarian | Contains Soy | 100% Dairy Free,Veg,4.8,8,,Check app
Cold Beverages [with Vegan Milk],Signature Vegan Milkshakes,Nut Protein Milkshake - Date Sweetened,₹299,,"250 ml | Total Protein: 15.3 g per serving | Date Sweetened. Made of Arabian Dates, Mixed Nuts and Plant based Soy Milk. 100% Vegan | 100% Vegetarian | Contains Soy | 100% Dairy Free [Nutrition Breakdown: Calories 405.4 kcal Protein 15.3 g Fat 23.0 g Carbohydrates 41.4 g Dietary Fibre 7.68 g]",Veg,5.0,6,,Check app
Cold Beverages [with Vegan Milk],Signature Vegan Milkshakes,Chocolate Milkshake,₹200,,250 ml | Made with Plant Based Milk and our Signature Chocolate Sauce. Never Miss out our Dairy free Vegan Milkshake is chilling & tasty. 100% Vegan | 100% Vegetarian | Contains Soy | 100% Dairy Free,Veg,,,,Check app
Cold Beverages [with Vegan Milk],Signature Vegan Milkshakes,Nutella Milkshake,₹299,,250 ml | Nutella inspired Made of in-house Hazelnut & Chocolate Spread with Plant based Mylk. Never Miss out our Dairy free Vegan Milkshake is chilling & tasty. 100% Vegan | 100% Vegetarian | Contains Soy | 100% Dairy Free,Veg,,,,Check app
Cold Beverages [with Vegan Milk],Refreshers,Cold Brew Fizz,₹229,,"250 ml | Slow-steeped Velvety cold brew concentrate charged with fizzy soda — smooth, bold, and unexpectedly refreshing. A sparkling upgrade to your usual coffee fix. Allergen Info: Contains caffeine Spice Level: ❌ Not Spicy Dietary Tags: 🟢 Vegan | ❄️ Cold Beverage | ⚡ Caffeinated | 🚫 No Dairy",Veg,,,,Check app
Cold Beverages [with Vegan Milk],Refreshers,Litchi Raspberry Refresher,₹229,,"250 ml | Juicy lychee crush kissed with fresh raspberry bits and topped with sparkling soda — a dreamy, fruit-forward indulgence that’s light, fizzy, and flirtatious. Allergen Info: None Spice Level: ❌ Not Spicy Dietary Tags: 🟢 Vegan | ❄️ Cold Beverage | 🌿 Fruit-Based | 🚫 No Added Dairy",Veg,,,,Check app
Cold Beverages [with Vegan Milk],Refreshers,Mango Rose Sparkler,₹229,,Ripe mango pulp swirled with fragrant rose essence and lifted with bubbly soda — a floral-tropical fusion that feels like summer in every sip. Allergen Info: None Spice Level: ❌ Not Spicy Dietary Tags: 🟢 Vegan | ❄️ Cold Beverage | 🌸 Floral Notes | 🌿 Fruit-Based,Veg,,,,Check app
Whipped Vegan Cream Cakes,,Vanilla Biscoff Vegan Cake,₹1100,500 Gms: ₹1100 | 1 Kg: ₹2100,"500 gram | Vegan Vanilla Biscoff Cake, Vanilla Sponge, Vanilla Whipped Cream, Biscoff Filling, Vanilla Whipped Cream Frosting and Biscoff Spread Drip on Top with Cream Blobs & Lotus Biscoff Crunchies",Veg,,,,Check app
Whipped Vegan Cream Cakes,,Mixed Berry Cake [500gms],₹770,,"500 gram | 7"" Mixed Berry Vegan Cake serves 4-6 people, made with two layers of Vegan Vanilla Cake Sponge, filled with Mixed Berry compote made with Blueberries and Strawberries, layered and frosted with Vegan Berry Mousse Soy Based Cream with a Drip of Strawberry Sauce. 100% Vegan, 100% Eggless, 100% Dairy Free. Suitable to Vegetarians & Lactose Intolerants. Contains Soy. Nut Free.",Veg,5.0,3,,Check app
Whipped Vegan Cream Cakes,,Chocolate Truffle Cake [500gms],₹770,,"500 gram | 7"" Vegan Chocolate Truffle Cake, serves 4-6 people, made with Vegan Chocolate Cake Sponge layered and frosted with Vegan dark Chocolate Ganache and topped with Sprinkles. 100% Vegan, 100% Eggless, 100% Dairy Free. Suitable to Vegetarians & Lactose Intolerants. Contains Soy. Nut Free.",Veg,4.8,16,,Check app
Whipped Vegan Cream Cakes,,[500gms] Choco Mousse Vegan Cake,₹770,,500 gram | Dark Chocolate Mousse,Veg,5.0,4,,Check app
Whipped Vegan Cream Cakes,,Chocolate Truffle Cake [1Kg - Eggless & Vegan],₹1400,,"1 kg | Serves 5 | Vegan Chocolate Truffle Cake is 9"" Diameter, serves 8-10 people. Two layers of dark chocolate Vegan cake filled and iced with dark, semi-sweet chocolate ganache. 100% Vegan, 100% Eggless, 100% Dairy Free. Suitable to Vegetarians & Lactose Intolerants. Contains Soy. Nut Free.",Veg,4.4,5,,Check app
"Chai, Coffee & Bun",,Cafe Americano And Blueberry Baked Cheesecake [Vegan Combo],₹499,,Bean to Cup Premium Specialty Blend Americano Coffee and New York Baked Vegan Cheesecake with Blueberry Topping [100% Vegan | 100% Gluten-free],Veg,,,,Check app
"Chai, Coffee & Bun",,Chai Chatori [Vegan Combo],₹399,,Spiced Chai with Oatmilk & Vada Paav (in-house) with Baked Aloo Patty [100% Vegan | No Onion No Garlic],Veg,,,,Check app
"Artisan Vegan Pizza 8"" [No Onion No Garlic]","Classic Crust Vegan Pizzas - 8""",Corn N Zing Pizza - [Vegan | NONG],₹399,,"Very Spicy | 8 inches | 8"" Vegan Pizza Base, Herby Pizza Sauce, Vegan Cashew Cheese, American Sweet Corn, Red Paprika, Green Chili. [Vegan | Dairy Free | Jain | NONG]",Veg,,,,Check app
"Artisan Vegan Pizza 8"" [No Onion No Garlic]","Classic Crust Vegan Pizzas - 8""",Olive N Corn Symphony [Vegan | NONG],₹399,,"Non Spicy | 8 inches | 8"" Vegan Pizza Base, Sweet & Tangy Pizza Sauce, Vegan Cashew Cheese, Black Olives & American Sweet Corn [Vegan | Dairy Free | Jain | NONG]",Veg,,,,Check app
"Artisan Vegan Pizza 8"" [No Onion No Garlic]","Classic Crust Vegan Pizzas - 8""",Tofu Pesto Crunch,₹479,,"8"" Vegan Pizza Base with in-house Pesto Sauce, Marinated Tofu Cubes, Cashew nuts, Black Olives [Total Protein: ~8g per Serving]",Veg,,,,Check app
"Artisan Vegan Pizza 8"" [No Onion No Garlic]","Classic Crust Vegan Pizzas - 8""","Pizza Margherita 8"" [Vegan | NONG]",₹399,,"Medium Spicy | 8 inches | 8"" Vegan Pizza Margherita, made with delicious in-house Herby Pizza Sauce, Cashew Cheese, Fresh Basil Topping, Olive Oil and Hand tossed Italian Pizza Base. Originating in Naples in 1889, Pizza Margherita was crafted to honor Queen Margherita, symbolizing Italy’s flag with its vibrant tomato, mozzarella, and basil toppings. A true taste of Italian tradition! [100% Vegan]",Veg,5.0,5,,Check app
"Artisan Vegan Pizza 8"" [No Onion No Garlic]","Classic Crust Vegan Pizzas - 8""",Jain Vegan Pizza,₹449,,"Very Spicy | 8 inches | 8"" Vegan Pizza Veggie Fiesta, made with delicious in-house Pizza Sauce, Cashew Cheese, Green Bell Peppers, American Sweet Corn, Sun Dried Tomatoes, Black Olives, Green Jalapenos, Red Paprika Topping, Olive Oil and Hand tossed Thin Crust Italian Pizza Base. [100% Vegan | 100% Jain ]",Veg,4.8,5,,Check app
"Artisan Vegan Pizza 8"" [No Onion No Garlic]",Protein Rich Whole Wheat Vegan Pizza [NONG],Whole Wheat High Protein Tofu Marinade [~35g Protein],₹599,,"Medium Spicy | Contains Seasonal Ingredients | 8 inches | 8"" Hand tossed Thin Crust Italian Pizza Base made with Whole Wheat Protein Pizza Base, In-house Pizza Sauce; Toppings: Vegan Cheese, Marinated Cubed Tofu, Black Olives, American Sweet Corn & Green Bell Pepper",Veg,4.9,19,,Check app
