category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Mutton & Chicken Gravy Items,,Butter Chicken,₹204,,"Tender chicken pieces bathed in a creamy, rich sauce, offering a symphony of flavors that delights the palate.",Non-Veg,4.8,3,,Check app
Mutton & Chicken Gravy Items,,Mutton Kadai,₹408,,"Indulge in tender, succulent meat simmered in a rich, aromatic gravy, bursting with vibrant flavors.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Mutton Masala,₹396,,"Tender pieces of mutton simmered in a rich, aromatic sauce that boasts a perfect blend of spices, delivering a luxurious experience in every bite.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Kadai Chicken,₹204,,"Tender chicken is simmered in a rich, aromatic gravy, offering a delightful blend of bold flavors and herbs.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Chicken Masala,₹192,,"Tender chicken simmered in a rich, aromatic sauce, bursting with flavors that tantalize the taste buds.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Chicken Tikka Masala,₹228,,"Succulent pieces of grilled chicken enveloped in a rich, creamy tomato sauce that tantalizes the taste buds.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Chicken Rogan Gosh,₹204,,"Tender chicken simmered in a rich, aromatic gravy, delivering a delightful burst of flavor in every bite.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Chettinad Chicken,₹204,,"A tantalizing blend of robust flavors and aromatic spices envelops tender chicken, creating a rich and unforgettable gravy experience.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Malai Tikka Masala,₹228,,"Tender pieces of marinated meat enveloped in a rich, creamy sauce, delivering a luxurious culinary experience.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Chicken Hydrabadi,₹204,,"Savor tender chicken slow-cooked in a rich, aromatic gravy, infused with traditional spices for a truly indulgent experience.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Chicken Kolapuri,₹204,,"Tender chicken infused with rich, aromatic spices and a luscious gravy for a truly delightful experience.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Palak Chicken,₹204,,"Tender chicken is simmered in a rich, vibrant green sauce, creating a luscious blend of flavors that's utterly irresistible.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Methi Chicken Boneless,₹228,,"Tender chicken simmered in a fragrant blend of fenugreek, creating a rich and flavorful gravy.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,FSR Special Masala,₹264,,"Indulge in a rich, aromatic blend of tender mutton and succulent chicken, simmered to perfection for a delightful experience.",Non-Veg,,,,Check app
Mutton & Chicken Gravy Items,,Mutton Rogan Gosh,₹408,,"Tender morsels of mutton simmered in a rich, aromatic sauce, offering a delightful explosion of flavors.",Non-Veg,,,,Check app
