category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
BANOFFEE Brew Bar,Classic Coffee,Americano,₹200,,Double Espresso With Hot Water,Veg,5.0,7,,In Stock
BANOFFEE Brew Bar,Classic Coffee,Cortado,₹220,,Double Espresso With Equal Part Of Steamed Milk,Veg,5.0,10,,In Stock
BANOFFEE Brew Bar,Classic Coffee,Flat White,₹240,,Espresso With Steamed Milk & Microfoam,Veg,2.2,3,,In Stock
BANOFFEE Brew Bar,Classic Coffee,Latte,₹240,,Espresso With Steamed Milk & Thin Layer Of Microfoam,Veg,4.4,13,,In Stock
BANOFFEE Brew Bar,Classic Coffee,Cappuccino,₹240,,Espresso With Steamed Milk & A Thick Layer Of Microfoam,Veg,4.9,17,,In Stock
BANOFFEE Brew Bar,Classic Coffee,Mocha,₹260,,Espresso With Dark Chocolate & Steamed Milk,Veg,3.9,7,,In Stock
BANOFFEE Brew Bar,BANOFFEE Speciality,Cranberry Mocha,₹290,Hot: ₹290 | Iced: ₹290,"Espresso, Steamed Milk, Chocolate & Cranberry",Veg,,,,In Stock
BANOFFEE Brew Bar,BANOFFEE Speciality,BANOFFEE Latte,₹290,Hot: ₹290 | Iced: ₹290,"Espresso, Steamed Milk, Banana & Toffee",Veg,,,,In Stock
BANOFFEE Brew Bar,BANOFFEE Speciality,Italian Tiramisu Latte,₹290,Hot: ₹290 | Iced: ₹290,"Espresso, Steamed Milk & Italian Tiramisu",Veg,4.8,13,,In Stock
BANOFFEE Brew Bar,BANOFFEE Speciality,Rose Cardamom Latte,₹290,Hot: ₹290 | Iced: ₹290,"Espresso, Steamed Milk, Rose & Cardamom",Veg,,,,In Stock
BANOFFEE Brew Bar,BANOFFEE Speciality,Turkish Hazelnut Latte,₹290,Hot: ₹290 | Iced: ₹290,"Espresso, Steamed Milk & Turkish Hazelnut",Veg,4.8,4,,In Stock
BANOFFEE Brew Bar,BANOFFEE Speciality,Spanish Latte,₹290,Hot: ₹290 | Iced: ₹290,"Espresso, Steamed Milk & Condensed Milk",Veg,,,,In Stock
BANOFFEE Brew Bar,BANOFFEE Speciality,Nutella Latte,₹290,Hot: ₹290 | Iced: ₹290,"Espresso, Steamed Milk & Nutella",Veg,,,,In Stock
BANOFFEE Brew Bar,BANOFFEE Speciality,Belgian Biscoff Latte,₹290,Hot: ₹290 | Iced: ₹290,"Espresso, Steamed Milk & Belgian Biscoff",Veg,,,,In Stock
BANOFFEE Brew Bar,Speciality Cold Brew,Classic Cold Brew,₹270,,"Signature roast, 18 hour slow steep. Smooth & bold.",Veg,5.0,3,,In Stock
BANOFFEE Brew Bar,Speciality Cold Brew,Cranberry Cold Brew,₹290,,"Signature roast, 18 hour slow steep, cranberry notes.",Veg,,,,In Stock
BANOFFEE Brew Bar,Speciality Cold Brew,Coconut Passion Cold Brew,₹290,,"Signature roast, 18 hour slow steep, coconut and passion fruit notes.",Veg,,,,In Stock
BANOFFEE Brew Bar,Speciality Cold Brew,Lychee Lemon Cold Brew,₹290,,"Signature roast, 18 hour slow steep, lychee and lemon notes.",Veg,,,,In Stock
BANOFFEE Brew Bar,Speciality Cold Brew,Orange Cold Brew,₹290,,"Signature roast, 18 hour slow steep, orange notes.",Veg,,,,In Stock
BANOFFEE Brew Bar,Speciality Cold Brew,Vietnamese Cold Brew,₹290,,"Signature roast, 18 hour slow steep, with condensed milk.",Veg,,,,In Stock
BANOFFEE Brew Bar,Iced Coffee,Iced Americano,₹200,,"Double Espresso, Ice & Water",Veg,1.5,3,,In Stock
BANOFFEE Brew Bar,Iced Coffee,Iced Latte,₹240,,"Double Espresso, Ice & Milk",Veg,2.7,6,,In Stock
BANOFFEE Brew Bar,Iced Coffee,Iced Cappuccino,₹240,,"Double Espresso, Ice & Foamed Milk",Veg,4.5,3,,In Stock
BANOFFEE Brew Bar,Iced Coffee,Vietnamese Iced Coffee,₹270,,"Double Espresso, Ice, Condensed Milk & Cinnamon",Veg,3.8,14,,In Stock
BANOFFEE Brew Bar,Cold Coffee,Classic Cold Coffee,₹275,,Double Espresso & Chilled Milk,Veg,4.0,22,,In Stock
BANOFFEE Brew Bar,Cold Coffee,BANOFFEE Cold Coffee,₹325,,"Double Espresso, Chilled Milk, Banana & Toffee",Veg,3.2,11,,In Stock
BANOFFEE Brew Bar,Cold Coffee,Vietnamese Cold Coffee,₹325,,"Double Espresso, Chilled Milk & Condensed Milk",Veg,5.0,15,,In Stock
BANOFFEE Brew Bar,Cold Coffee,Tiramisu Frappe,₹325,,"Double Espresso, Chilled Milk & Tiramisu",Veg,,,,In Stock
BANOFFEE Brew Bar,Cold Coffee,Mocha Choco Chip Frappe,₹325,,"Double Espresso, Chilled Milk, Dark Chocolate & Choco Chips",Veg,3.7,3,,In Stock
BANOFFEE Brew Bar,Cold Coffee,Salted Caramel Frappe,₹325,,"Double Espresso, Chilled Milk & Salted Caramel",Veg,,,,In Stock
BANOFFEE Brew Bar,Tea,Kashmiri Kahwa,₹200,,"Green Tea, Saffron, Dry Ginger, Cardamom, Cinnamon, Black Pepper, Almond, Clove, Dried Rose Petals",Veg,3.5,8,,In Stock
BANOFFEE Brew Bar,Tea,English Breakfast Tea,₹200,,Assam Black Tea & Darjeeling Black Tea,Veg,4.2,8,,In Stock
BANOFFEE Brew Bar,Tea,Chamomile Tea,₹200,,Black Tea & Dried Chamomile Flower,Veg,5.0,4,,In Stock
BANOFFEE Brew Bar,Tea,Jasmine Tea,₹200,,Black Tea & Pure Fresh Jasmine,Veg,,,,In Stock
BANOFFEE Brew Bar,Tea,Earl Grey Tea,₹200,,"Black Tea, Natural Bergamot Oil, Cornflower Petals",Veg,,,,In Stock
BANOFFEE Brew Bar,Tea,Green Tea,₹200,,Organic Green Tea,Veg,,,,In Stock
BANOFFEE Brew Bar,Iced Tea,Lemon Iced Tea,₹240,,Chilled refreshing black tea with lemon.,Veg,,,,In Stock
BANOFFEE Brew Bar,Iced Tea,Peach Iced Tea,₹240,,Chilled refreshing black tea with peach.,Veg,,,,In Stock
BANOFFEE Brew Bar,Iced Tea,Cranberry Iced Tea,₹240,,Chilled refreshing black tea with cranberry.,Veg,,,,In Stock
BANOFFEE Brew Bar,Iced Tea,Hibiscus Iced Tea,₹240,,Chilled refreshing black tea with hibiscus.,Veg,,,,In Stock
BANOFFEE Brew Bar,Iced Tea,Lemongrass Iced Tea,₹240,,Chilled refreshing black tea with lemongrass.,Veg,,,,In Stock
BANOFFEE Brew Bar,Chocolate,Belgian Hot Chocolate,₹280,,"Rich, smooth dark chocolate, marshmallows.",Veg,4.7,32,,In Stock
BANOFFEE Brew Bar,Chocolate,Hazelnut Hot Chocolate,₹320,,"Dark chocolate, roasted hazelnut, marshmallows.",Veg,,,,In Stock
BANOFFEE Brew Bar,Chocolate,Mexican Hot Chocolate,₹320,,"Dark chocolate, cinnamon, chilli, marshmallows.",Veg,,,,In Stock
BANOFFEE Brew Bar,Chocolate,Orange Hot Chocolate,₹320,,"Dark chocolate, orange, marshmallows.",Veg,,,,In Stock
BANOFFEE Brew Bar,Milkshakes,Movie Night Shake,₹325,,Salted Caramel & Popcorn,Veg,,,,In Stock
BANOFFEE Brew Bar,Milkshakes,Lotus Biscoff Shake,₹325,,The Og Lotus Biscoff Shake,Veg,,,,In Stock
BANOFFEE Brew Bar,Milkshakes,Triple Chocolate Shake,₹295,,"Belgian Dark Chocolate, Chocolate Sauce & Choco Chips",Veg,,,,In Stock
BANOFFEE Brew Bar,Milkshakes,Fudge Brownie Shake,₹295,,Fudge Brownie & Belgian Dark Chocolate,Veg,,,,In Stock
BANOFFEE Brew Bar,Milkshakes,Strawberry Oreo Shake,₹295,,Strawberry & Oreo,Veg,,,,In Stock
BANOFFEE Brew Bar,Milkshakes,Mango Shake,₹295,,Classic Mango Shake,Veg,,,,In Stock
BANOFFEE Brew Bar,Smoothie,Choco Berry Smoothie,₹325,,"Dark Chocolate, Blueberry, Cranberry & Black Currant Blended With Greek Yogurt",Veg,,,,In Stock
BANOFFEE Brew Bar,Smoothie,Mango Peach Smoothie,₹325,,Mango & Peach Blended With Greek Yogurt,Veg,,,,In Stock
BANOFFEE Brew Bar,Smoothie,Nutella Strawberry Smoothie,₹325,,Nutella & Strawberry Blended With Greek Yogurt,Veg,,,,In Stock
BANOFFEE Brew Bar,Smoothie,Peanut Butter & Banana Smoothie,₹325,,Peanut Butter & Banana Blended With Greek Yogurt,Veg,,,,In Stock
BANOFFEE Brew Bar,Craft Mocktail,Melon Oasis Elixir,₹275,,"Watermelon, Cranberry, Galangal & Basil",Veg,2.2,3,,In Stock
BANOFFEE Brew Bar,Craft Mocktail,Oceans Ode,₹275,,"Litchi, Lavender, Galangal & Butterfly Pea Flower Tea",Veg,,,,In Stock
