category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Cupcake /tart/macaroon/muffin,Cupcake,Cup Cake Small Red Velvet El (pack Of 6),₹186,,Light & spongy cup cake infused with red velvet richness.,Veg,4.7,862,Yes,In Stock
Cupcake /tart/macaroon/muffin,Cupcake,Cup Cake Small Choc El (pack Of 6),₹186,,,Veg,4.7,120,Yes,In Stock
Cupcake /tart/macaroon/muffin,Cupcake,Cup Cake Small Choc Hazelnut El (pack Of 6),₹192,,,Veg,4.6,126,Yes,In Stock
Cupcake /tart/macaroon/muffin,Cupcake,Cup Cake Big Red Velvet El (pack Of 2),₹240,,Light & spongy cup cake infused with red velvet richness.,Veg,4.5,151,Yes,In Stock
Cupcake /tart/macaroon/muffin,Cupcake,Cup Cake Small Choc Cream Cheese El (pack Of 6),₹192,,,Veg,4.7,58,Yes,In Stock
Cupcake /tart/macaroon/muffin,Cupcake,Assorted Filled Vanilla Cup Cake Small (pack Of 6),₹203,,,Non-Veg,4.3,72,Yes,In Stock
Cupcake /tart/macaroon/muffin,Tart,Lemon Mini Tart (pack Of 6),₹223,,Buttery tarts with a delectable lemon flavoured filling.,Non-Veg,4.7,50,Yes,In Stock
Cupcake /tart/macaroon/muffin,Tart,Chocolate Mini Tart (pack Of 6),₹223,,A classic tart filled with chocolate flavoured filling.,Non-Veg,4.2,216,Yes,In Stock
Cupcake /tart/macaroon/muffin,Tart,Blueberry Mini Tart (pack Of 6),₹223,,Dainty melt-in-mouth tarts with delicious blueberry filling.,Non-Veg,4.2,16,,In Stock
Cupcake /tart/macaroon/muffin,Tart,Caramel Mini Tart (pack Of 6),₹223,,Delicate tarts filled with the sweetness of caramel.,Non-Veg,4.9,15,,In Stock
Cupcake /tart/macaroon/muffin,Tart,Assorted Tarts (pack Of 6),₹221,,,Non-Veg,4.9,22,,In Stock
Cupcake /tart/macaroon/muffin,Macaron,Assorted Macarons (pack Of 6),₹424,,,Non-Veg,4.9,20,,In Stock
Savory/croissant/donut,Donuts,Filled Chocolate Donut,₹110,,,Non-Veg,4.4,51,Yes,In Stock
Savory/croissant/donut,Donuts,Filled Vanilla Donut,₹110,,,Non-Veg,4.7,66,,In Stock
Savory/croissant/donut,Donuts,Filled Caramel Donut,₹110,,,Non-Veg,4.7,19,,In Stock
Savory/croissant/donut,Donuts,Chocolate Donut,₹94,,Moist and fluffy delectable chocolatey donut.,Non-Veg,4.4,354,,In Stock
Savory/croissant/donut,Donuts,Blueberry Donut,₹110,,"Sweet, crisp and moist donut with a dash of blueberries.",Non-Veg,4.1,186,,In Stock
Savory/croissant/donut,Donuts,Caramel Donut,₹110,,Moist and crispy donut glazed with caramel.,Non-Veg,3.2,144,,In Stock
Savory/croissant/donut,Savory,Creamy Chicken Pie,₹137,,Flavoursome pie stuffed with creamy chicken filling.,Non-Veg,4.4,259,,In Stock
Savory/croissant/donut,Savory,Chicken Mini Tart,₹94,,Delicate buttery pastry shells with a delicious chicken filling.,Non-Veg,5.0,231,,In Stock
Savory/croissant/donut,Savory,Mushroom Puff,₹70,,Flaky and crispy savoury pastry stuffed with a flavoursome mushroom filling.,Veg,4.0,17,,In Stock
Savory/croissant/donut,Savory,Veg Puff,₹60,,Crispy and light puff stuffed with heavenly vegetable filling,Veg,4.2,47,,In Stock
Savory/croissant/donut,Savory,Egg Puff,₹77,,A popular puff pastry stuffed with a boiled egg.,Non-Veg,3.1,33,,In Stock
Savory/croissant/donut,Savory,Chicken Puff,₹94,,Golden brown delight with chicken stuffing,Non-Veg,4.0,68,,In Stock
