category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Jamun,₹39,,"Indulge in this delectable Indian sweet, bursting with flavors that will tantalize your taste buds.",Veg,4.4,27,,In Stock
Breakfast,,Rice bath,₹79,,A delightful vegetarian breakfast dish that combines fluffy rice with a burst of flavors to start your day off right.,Veg,4.3,150,,In Stock
Breakfast,,Idli [2 pieces],₹70,,Soft and fluffy steamed cakes perfect for a delightful breakfast.,Veg,4.4,394,Yes,In Stock
Breakfast,,Masala dosa           ,₹119,,A savory and flavorful Indian breakfast treat that is a delight to enjoy.,Veg,4.3,335,Yes,Check app
Breakfast,,Vada (2 piece),₹69,,A savory and crispy breakfast delight that will tantalize your taste buds.,Veg,4.2,68,,Check app
Breakfast,,Set dosa (3 piece),₹119,,"A delectable, fluffy and savory breakfast option that will leave you craving for more.",Veg,4.5,40,,Check app
Breakfast,,Poori (3 piece),₹119,,A delightful and satisfying Indian breakfast option that will satisfy your cravings.,Veg,4.3,36,,Check app
Breakfast,,Rava Idli (1 Piece),₹59,,,Veg,4.6,24,Yes,Check app
Breakfast,,Butter masala dosa,₹129,,A delectable and flavorful South Indian breakfast option that is sure to tantalize your taste buds with its rich and creamy buttery goodness.,Veg,4.5,81,,Check app
Breakfast,,Pesarattu,₹119,,A delectable and flavorful breakfast option bursting with savory and satisfying flavors.,Veg,4.1,26,,Check app
Breakfast,,Plain dosa        ,₹80,,"A delightful and wholesome Indian breakfast option that is light, crisp, and perfect to kick-start your day.",Veg,4.4,99,,Check app
Breakfast,,Podi masala dosa,₹119,,A delectable South Indian breakfast treat bursting with robust flavors and aromatic spices.,Veg,4.1,78,,Check app
Breakfast,,Mallige Thatte Idli [ 2piece ],₹80,,,Veg,4.2,154,,Check app
Breakfast,,Upma pesarattu,₹129,,"Flavorful and wholesome, this delicious vegetarian breakfast dish is a delightful combination of soft crepes and fluffy semolina.",Veg,3.9,33,,Check app
Breakfast,,Kara bath,₹79,,A flavorful and comforting breakfast dish that's sure to brighten your mornings.,Veg,4.4,76,,Check app
Chinese Manchurian,,Paneer manchurian,₹269,,"A tantalizing Chinese delight featuring succulent paneer, bursting with flavors that will leave you craving for more.",Veg,4.6,25,Yes,In Stock
Chinese Manchurian,,Paneer chilli,₹269,,"A delectable Chinese Manchurian creation, Paneer chilli is a tantalizing dish that bursts with bold flavors and delightful textures.",Veg,4.7,40,,In Stock
Chinese Manchurian,,Gobi machurian,₹159,,"A flavorsome Chinese Manchurian dish that combines crispy cauliflower florets with a delectable, tangy sauce.",Veg,4.3,76,Yes,In Stock
Chinese Manchurian,,Mushroom pepper dry    ,₹189,,"A delectable Chinese Manchurian dish featuring savory mushrooms and fragrant peppers, bursting with flavor and texture.",Veg,4.6,28,,In Stock
Chinese Manchurian,,Mushroom chilli,₹199,,A savory and flavorful Chinese delicacy packed with umami mushrooms in a rich and tantalizing sauce.,Veg,,,,In Stock
Meals,,Curd rice,₹69,,A creamy and comforting vegetarian meal that will satisfy your taste buds.,Veg,4.0,46,,In Stock
Meals,,North indian meal,₹179,,A flavorful and aromatic veg meal inspired by North Indian cuisine.,Veg,4.4,100,,Check app
Chinese Fried Rice,,Veg fried rice,₹189,,"A flavorful medley of vegetables and aromatic rice stir-fried to perfection, capturing the essence of Chinese cuisine.",Veg,4.2,93,Yes,In Stock
Chinese Fried Rice,,Paneer fried rice,₹249,,A delectable Chinese fried rice infused with the delightful flavors of succulent paneer.,Veg,3.8,34,,In Stock
Chinese Fried Rice,,Veg Fride Rice,₹189,,,Veg,,,,Check app
Chinese Noodles,,Veg noodles,₹159,,Delight in the satisfying flavors and textures of a Chinese noodle dish bursting with vibrant vegetables.,Veg,4.4,52,Yes,In Stock
Chinese Noodles,,Paneer noodles,₹209,,Delicious Chinese noodles dish with savory paneer.,Veg,4.4,16,,In Stock
Sweets,,Jamun,₹39,,"Indulge in this delectable Indian sweet, bursting with flavors that will tantalize your taste buds.",Veg,4.4,27,,In Stock
North Indian Gravy,,Paneer butter masala,₹299,,A creamy and flavorful North Indian gravy dish that combines succulent paneer with a rich and indulgent buttery sauce.,Veg,4.4,49,,Check app
North Indian Gravy,,Kadai paneer,₹279,,"Tender paneer cooked in a rich, aromatic tomato-based gravy, bursting with flavors of North India.",Veg,4.2,27,,Check app
North Indian Gravy,,Kaju masala   ,₹267,,A rich and flavorful North Indian gravy with a nutty twist.,Veg,4.9,9,,Check app
North Indian Gravy,,Kadai mushroom,₹259,,"A delectable and flavorful North Indian gravy bursting with succulent mushrooms in a rich, aromatic curry.",Veg,,,,Check app
North Indian Gravy,,Mix veg curry  ,₹239,,A flavorful North Indian gravy filled with a delightful medley of mixed vegetables.,Veg,4.9,6,,Check app
North Indian Gravy,,Kadai mix veg,₹239,,A tantalizing medley of fresh garden vegetables cooked in a rich and flavorsome North Indian gravy.,Veg,3.5,3,,Check app
North Indian Gravy,,Mushroom masala       ,₹220,,A flavorful and aromatic North Indian gravy with delectable mushrooms that will tantalize your taste buds.,Veg,4.3,5,,Check app
North Indian Gravy,,Dal fry         ,₹209,,"A flavorful North Indian gravy bursting with rich, aromatic flavors and a perfect blend of spices.",Veg,4.4,16,,Check app
North Indian Gravy,,Dal thadka ,₹190,,"A flavorful delicacy from North India, this mouthwatering veg gravy is a true delight for the taste buds.",Veg,4.1,5,,Check app
North Indian Rice Special,,Veg biryani,₹209,,Savor the aromatic flavors of this fragrant and flavorful rice delight from North India.,Veg,3.5,31,,Check app
North Indian Rice Special,,Veg handi biryani,₹209,,A delightful North Indian rice special bursting with aromatic flavors and exquisite textures.,Veg,4.0,19,,Check app
North Indian Rice Special,,Mushroom biryani,₹199,,"A flavorful and aromatic rice dish infused with the earthy goodness of mushrooms, a true delight for vegetarians.",Veg,4.1,28,,Check app
North Indian Rice Special,,Veg pulao,₹199,,"Aromatic and flavorful rice dish, cooked with assorted vegetables in the traditional North Indian style.",Veg,4.6,4,,Check app
Roti And Tandoori Special,,Roti curry ,₹119,,"A delightful and flavorful combination showcasing the essence of Indian cuisine, perfect for those seeking a hearty vegetarian meal.",Veg,4.7,51,,Check app
Roti And Tandoori Special,,Roti,₹45,,"A mouthwatering Indian specialty bursting with flavors, perfect for an authentic and delightful meal.",Veg,4.6,39,,Check app
Roti And Tandoori Special,,Butter naan              ,₹60,,"Indulge in the irresistible delight of our rich and luscious naan, perfectly complemented with a sumptuous butter flavor.",Veg,4.5,22,,Check app
Roti And Tandoori Special,,Butter roti,₹55,,A sumptuous and flavorful Indian flatbread prepared with a touch of decadent butter.,Veg,4.8,42,,Check app
Roti And Tandoori Special,,Naan,₹50,,"Butter-infused flatbread from the tandoor, bursting with delectable flavors.",Veg,4.1,8,,Check app
