category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Thatte Idli,₹45,,,Veg,4.5,68,,In Stock
Recommended,,Idli [2 Pieces],₹65,,,Veg,4.4,71,Yes,In Stock
Recommended,,Poori Saagu,₹135,,,Veg,4.4,34,Yes,In Stock
Recommended,,Rava Idli,₹80,,,Veg,4.6,24,Yes,In Stock
Recommended,,Idli Vada,₹120,,,Veg,4.2,44,,In Stock
Recommended,,Ghee Masala Dosa,₹119,,,Veg,4.5,78,Yes,In Stock
Recommended,,Ghee Pudi Masala Dosa,₹160,,,Veg,4.8,17,Yes,In Stock
Recommended,,Ghee Plain Dosa,₹102,,,Veg,3.6,13,,In Stock
Recommended,,Ghee Rava Dosa,₹145,,,Veg,4.4,6,,In Stock
Recommended,,Ghee Pongal,₹120,,,Veg,4.7,38,Yes,In Stock
Recommended,,Gulab Jamun [2 Pieces],₹80,,,Veg,,,,In Stock
Recommended,,Coffee,₹59,,,Veg,4.7,3,,In Stock
Recommended,,Tea,₹35,,,Veg,,,,In Stock
Recommended,,Boost,₹70,,,Veg,,,,In Stock
Recommended,,Horlicks,₹70,,,Veg,,,,In Stock
Recommended,,Ginger Coffee,₹59,,,Veg,,,,In Stock
Recommended,,Jaggery Tea,₹59,,,Veg,,,,In Stock
Recommended,,Plain Milk,₹52,,,Veg,,,,In Stock
Recommended,,Apple Juice,₹108,,,Veg,,,,In Stock
Recommended,,Papaya,₹94,,,Veg,,,,In Stock
Chinese,,Gobi Fried Rice,₹135,,,Veg,3.8,15,,In Stock
Chinese,,Lemon Paneer,₹229,,,Veg,,,,In Stock
Chinese,,Paneer Kabab,₹210,,,Veg,,,,In Stock
Chinese,,Mushroom Kabab,₹180,,,Veg,,,,In Stock
Chinese,,Paneer Fried Rice,₹160,,,Veg,,,,In Stock
Chinese,,Gobi Noodles,₹135,,,Veg,4.1,10,,In Stock
Chinese,,Mushroom Pepperdry,₹165,,,Veg,,,,In Stock
Chinese,,Paneer Chilly,₹150,,,Veg,4.8,7,,In Stock
Chinese,,Paneer Pepperdry,₹150,,,Veg,,,,In Stock
Chinese,,Paneer Noodles,₹160,,,Veg,,,,In Stock
Chinese,,Mushroom Chilly,₹155,,,Veg,,,,In Stock
Chinese,,Mushroom Fried Rice,₹140,,,Veg,,,,In Stock
Chinese,,Paneer Manchurian,₹140,,,Veg,4.6,12,,In Stock
Chinese,,Babycorn Pepperdry,₹150,,,Veg,,,,In Stock
Chinese,,Schzwen Fried Rice,₹148,,,Veg,,,,In Stock
Chinese,,Mushroom Noodles,₹145,,,Veg,,,,In Stock
Chinese,,Schzwen Noodles,₹148,,,Veg,,,,In Stock
Chinese,,Gobi Chilly,₹135,,,Veg,,,,In Stock
