category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,The All English Breakfast,₹380,,"| Serves 1 | Chicken Sausages, Bacon (Pork), 2 Fried Eggs, Baked Beans, Sauteed Mushrooms, Mashed Potato, Spinach and Grilled Tomato, Served with 2 slices of Brown Bread n Butter",Non-Veg,4.3,1.7K+,,In Stock
Recommended,,The Porky Fellas Breakfast,₹410,,"Combination of 2 fried eggs, pork breakfast sausages, bacon (pork), pork ham, mushrooms, mashed potato, spinach and grilled tomato, served with 2 slices of brown bread and butter",Non-Veg,4.7,395,,In Stock
Recommended,,The Chicken Hole 9 Yards Hash,₹410,,"| Serves 1 | Our invention of diced hash browns, chicken salami, chicken ham and chicken sausage tossed with sauteed onion, jalapeno, capsicum, spring onion and mushrooms. Topped with 2 fried eggs, served with 2 slices of brown bread n butter",Non-Veg,4.4,822,,In Stock
Recommended,,The Big Frenchie Breakfast,₹385,,"| Serves 1 | 2 Slices of French toast topped with honey butter sauce and served with 2 fried eggs and 2 chicken sausages, Bonjout",Non-Veg,4.8,715,,In Stock
Recommended,,The Porky Hole 9 Yards Hash,₹410,,"Our invention of diced hash browns, pork pepper sausages, minced pork bacon, and pork pepperoni tossed with sauteed onion, capsicum, jalapenos, spring onion and mushrooms. Topped with 2 fried eggs and served with 2 slices of brown bread and butter",Non-Veg,4.6,231,,In Stock
Recommended,,The Farmers Breakfast,₹270,,"| Serves 1 | 2 Fried Eggs, Baked Beans, Mashed Potato, Sauteed Mushrooms, Spinach and Grilled Tomato, Served with 2 slices of Brown Bread n Butter",Non-Veg,4.3,1.2K+,,In Stock
Recommended,,Chicken Fajita Breakfast Tacos,₹330,,"Tortilla topped with Onion, Green Peppers and Chicken in homemade fajita seasonign with tomato salsa, a fried egg, a drizzle of spicy mayo",Non-Veg,4.6,149,,In Stock
Recommended,,Sunday Morning [non Veg],₹250,,"2 Baked eggs with choice of meat layered on spicy masala bed of mushrooms, capsicums, onions, and tomato topped with cheese and coriander, served with 2 slices of brown bread and butter",Non-Veg,4.2,211,,In Stock
Recommended,,A Meat Platter Spread Of Chicken,₹530,,Chicken breakfast Sausage  + Chicken Pepperoni + Chicken Ham + Chicken Salami,Non-Veg,4.1,17,,In Stock
Recommended,,The Full Monty American Breakfast,₹395,,"| Serves 1 | 2 Scrambled eggs, 2 pancakes, 2 slices of brown bread and butter with side order of your choice",Non-Veg,4.8,74,,In Stock
Recommended,,Mixed Meat Hole 9 Yards Hash,₹400,,"Our invention of 3 meats of your choice tossed with diced has browns, sauteed onion, mushroom, jalapenos and capsicum. Topped with 2 fried eggs and served with 2 sliced of brown bread and butter",Non-Veg,4.3,51,,In Stock
Recommended,,Goan Sausage And Pao Meal [pork],₹310,,Allow us to take you close enough with our concoction of Goan Sausage in a bowl served with Pao Bread,Non-Veg,4.8,64,,In Stock
Recommended,,The Hangover Remedy,₹190,,"2 Spicy fried eggs topped with chilli, coriander and cheese, served with 2 slices of brown bread and butter",Non-Veg,4.9,240,,In Stock
Recommended,,Chicken Liver On Toast,₹270,,An old-school favorite toss-up of delicious chicken liver tossed with onions and garnished with parsley.,Non-Veg,3.8,132,,In Stock
Recommended,,Chickheema Eggs,₹270,,Spicy chicken kheema scrambled with boiled eggs and served with pao bread,Non-Veg,4.7,152,,In Stock
Recommended,,Cheesy Scrambled Eggs,₹190,,Piled on Brown Bread + Butter,Non-Veg,4.0,170,,In Stock
Recommended,,Crispy Fried Devilled Eggs,₹220,,Crispy boiled eggs stuffed with creamy jalapenos egg yolk dip and garnished with parsley,Non-Veg,4.1,158,,In Stock
Recommended,,Beefy Beans,₹270,,A delicious mix of tangy beef mince and spicy baked beans piled on 2 slices of bread.,Non-Veg,4.9,49,,In Stock
Recommended,,Two Birds With One Stone,₹180,,"2 Fried eggs servied with baked beans, a grilled tomato, 2 slices of brown bread and butter",Non-Veg,4.4,145,,In Stock
Recommended,,The Classic French Toast,₹140,,| Serves 1 |,Non-Veg,4.6,1.3K+,Yes,In Stock
Breakfast,,The All English Breakfast,₹380,,"| Serves 1 | Chicken Sausages, Bacon (Pork), 2 Fried Eggs, Baked Beans, Sauteed Mushrooms, Mashed Potato, Spinach and Grilled Tomato, Served with 2 slices of Brown Bread n Butter",Non-Veg,4.3,1.7K+,,In Stock
Breakfast,,The Porky Fellas Breakfast,₹410,,"Combination of 2 fried eggs, pork breakfast sausages, bacon (pork), pork ham, mushrooms, mashed potato, spinach and grilled tomato, served with 2 slices of brown bread and butter",Non-Veg,4.7,395,,In Stock
Breakfast,,The Chicken Hole 9 Yards Hash,₹410,,"| Serves 1 | Our invention of diced hash browns, chicken salami, chicken ham and chicken sausage tossed with sauteed onion, jalapeno, capsicum, spring onion and mushrooms. Topped with 2 fried eggs, served with 2 slices of brown bread n butter",Non-Veg,4.4,822,,In Stock
Breakfast,,The Big Frenchie Breakfast,₹385,,"| Serves 1 | 2 Slices of French toast topped with honey butter sauce and served with 2 fried eggs and 2 chicken sausages, Bonjout",Non-Veg,4.8,715,,In Stock
Breakfast,,The Porky Hole 9 Yards Hash,₹410,,"Our invention of diced hash browns, pork pepper sausages, minced pork bacon, and pork pepperoni tossed with sauteed onion, capsicum, jalapenos, spring onion and mushrooms. Topped with 2 fried eggs and served with 2 slices of brown bread and butter",Non-Veg,4.6,231,,In Stock
Breakfast,,The Farmers Breakfast,₹270,,"| Serves 1 | 2 Fried Eggs, Baked Beans, Mashed Potato, Sauteed Mushrooms, Spinach and Grilled Tomato, Served with 2 slices of Brown Bread n Butter",Non-Veg,4.3,1.2K+,,In Stock
Breakfast,,A Meat Platter Spread Of Pork,₹600,,Pork Pepper Sausage + Bacon + Pork Pepperoni + Pork Ham + Pork Breakfast Sausage,Non-Veg,5.0,25,,In Stock
Breakfast,,Chicken Fajita Breakfast Tacos,₹330,,"Tortilla topped with Onion, Green Peppers and Chicken in homemade fajita seasonign with tomato salsa, a fried egg, a drizzle of spicy mayo",Non-Veg,4.6,149,,In Stock
Breakfast,,Sunday Morning [non Veg],₹250,,"2 Baked eggs with choice of meat layered on spicy masala bed of mushrooms, capsicums, onions, and tomato topped with cheese and coriander, served with 2 slices of brown bread and butter",Non-Veg,4.2,211,,In Stock
Breakfast,,A Meat Platter Spread Of Chicken,₹530,,Chicken breakfast Sausage  + Chicken Pepperoni + Chicken Ham + Chicken Salami,Non-Veg,4.1,17,,In Stock
Breakfast,,The Full Monty American Breakfast,₹395,,"| Serves 1 | 2 Scrambled eggs, 2 pancakes, 2 slices of brown bread and butter with side order of your choice",Non-Veg,4.8,74,,In Stock
Breakfast,,Avocado Egg Salad Creme  On Toast,₹310,,Avocado Creme on sourdough bread topped with Salsa,Non-Veg,4.8,17,,In Stock
Breakfast,,Mixed Meat Hole 9 Yards Hash,₹400,,"Our invention of 3 meats of your choice tossed with diced has browns, sauteed onion, mushroom, jalapenos and capsicum. Topped with 2 fried eggs and served with 2 sliced of brown bread and butter",Non-Veg,4.3,51,,In Stock
Breakfast,,Goan Sausage And Pao Meal [pork],₹310,,Allow us to take you close enough with our concoction of Goan Sausage in a bowl served with Pao Bread,Non-Veg,4.8,64,,In Stock
Breakfast,,The Hangover Remedy,₹190,,"2 Spicy fried eggs topped with chilli, coriander and cheese, served with 2 slices of brown bread and butter",Non-Veg,4.9,240,,In Stock
Breakfast,,The Bonjour! Its Breakfast !!,₹390,,"Butter Croissant, Hash Brown, Baked Beans,  Scrambled Eggs",Non-Veg,,,,In Stock
Breakfast,,Pork Chorizo Breakfast Tacos,₹310,,"Hola! Start your morning with tortilla topped with spicy onion, potato, green peppers and pork chilli sausage with tomato salsa, a fried egg and a drizzle of spicy mayo",Non-Veg,4.2,82,,In Stock
Breakfast,,Chicken Liver On Toast,₹270,,An old-school favorite toss-up of delicious chicken liver tossed with onions and garnished with parsley.,Non-Veg,3.8,132,,In Stock
Breakfast,,Chickheema Eggs,₹270,,Spicy chicken kheema scrambled with boiled eggs and served with pao bread,Non-Veg,4.7,152,,In Stock
Breakfast,,Mash And Goan Sausage [pork],₹310,,A popular classic at THITWC. Delicious Goan sausage masala and mash potato topped with a fried egg.,Non-Veg,3.5,34,,In Stock
Breakfast,,Cheesy Scrambled Eggs,₹190,,Piled on Brown Bread + Butter,Non-Veg,4.0,170,,In Stock
Breakfast,,Crispy Fried Devilled Eggs,₹220,,Crispy boiled eggs stuffed with creamy jalapenos egg yolk dip and garnished with parsley,Non-Veg,4.1,158,,In Stock
Breakfast,,Porky Beans On Toast Topped With A Fried Egg,₹260,,"A mix of pork bacon mince, spring onions and spicy baked beans piled on toast & topped with a fried egg",Non-Veg,4.6,23,,In Stock
Breakfast,,Roast Beef Breakfast Tacos,₹290,,"Hola! Start your morning with tortilla filled with a spicy tossup of onion, green peppers, and roast beef topped with a fried egg and a drizzle of spicy mayo",Non-Veg,5.0,1,,In Stock
Breakfast,,The Angrezi Breakfast,₹310,,"Masala omelette with baked beans , 2 hash browns  and a grilled tomato topped with spinach; served with toast and butter",Non-Veg,4.6,6,,In Stock
Breakfast,,Desi Spicy Scrambled Eggs,₹220,,Piled on Brown Bread + Butter,Non-Veg,4.9,54,,In Stock
Breakfast,,Beefy Beans,₹270,,A delicious mix of tangy beef mince and spicy baked beans piled on 2 slices of bread.,Non-Veg,4.9,49,,In Stock
Breakfast,,Pulled Pork Tacos,₹320,,,Non-Veg,3.0,5,,In Stock
Breakfast,,Roast Beef Tacos,₹320,,"Spicy mix of Roast beef, onion & green capsicum on a soft shell taco and topped with a fried egg",Non-Veg,3.3,3,,In Stock
Breakfast,,Sunday Morning [egg + Veg],₹220,,"2 Baked eggs layered on spicy masala bed of mushrooms, capsicums, onions, and tomato topped with cheese and coriander, served with 2 slices of brown bread and butter",Non-Veg,3.9,209,,In Stock
Breakfast,,Garlic Butter Fried Eggs,₹210,,2 fried eggs fried in garlic butter topped on sourdough bread with pesto chilli oil,Non-Veg,4.0,2,,In Stock
Breakfast,,Two Birds With One Stone,₹180,,"2 Fried eggs servied with baked beans, a grilled tomato, 2 slices of brown bread and butter",Non-Veg,4.4,145,,In Stock
Breakfast,,Marinara Eggs,₹190,,2 fried eggs topped with marinara sauce olives and cheese,Non-Veg,4.6,35,,In Stock
Breakfast,,Butter Croissant,₹150,,,Non-Veg,5.0,4,,In Stock
Burgers In The Hole,,Meaty Beef Cheese Burger [plain],₹250,,,Non-Veg,4.7,229,Yes,In Stock
Burgers In The Hole,,Pulled Porky Burger,₹340,,Shredded pork topped with BBQ sauce and coleslaw! YUM.,Non-Veg,4.6,316,,In Stock
