category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Salted fries,₹116,,"Thin strips of potato that are deep fried, typically salted and seasoned.",Veg,,,,In Stock
Recommended,,Chicken Salad,₹198,,,Non-Veg,,,,In Stock
Recommended,,Veggie Salad,₹150,,,Veg,,,,In Stock
Recommended,,Paneer Salad,₹198,,,Veg,,,,In Stock
Recommended,,Chicken Maggi,₹129,,,Non-Veg,,,Yes,In Stock
Recommended,,Mushroom Maggi,₹109,,Maggi noodles served with sauteed onions and mushrooms,Veg,,,Yes,In Stock
Recommended,,Plain Maggi,₹64,,,Veg,,,,In Stock
Recommended,,Bread pizza,₹116,,"Pizza sauce spread over the bread with onions, capsicum and tomatoes and layer cheese. sprinkle herbs and chilli flakes.",Veg,,,Yes,In Stock
Recommended,,Korean Bun,₹116,,"Popular korean snack, buttery and garlicky with a cream cheese filling.",Veg,,,,In Stock
Recommended,,Tea [Regular],₹26,,,Veg,,,,In Stock
Recommended,,Hazelnut Cold Coffee,₹142,,,Veg,,,,In Stock
Recommended,,Caramel Cold Coffee,₹135,,,Veg,,,,In Stock
Recommended,,Walnut Brownie,₹129,,,Veg,,,,In Stock
Recommended,,Hazelnut Brownie,₹129,,,Veg,,,,In Stock
Chef's Specials,,Manipuri Singju Noodles,₹135,,"Medley of raw noodles, raw vegetables, aromatic herbs and unique seasonings.",Veg,,,,In Stock
Chef's Specials,,Manipuri Egg Singju Noodles,₹159,,Medley of raw vegetables and boiled egg with aromatic herbs and unique seasonings.,Non-Veg,,,,In Stock
Chef's Specials,,Lee's 1-Pot Noodles,₹129,,"Noodles cooked in broth, peanut butter, soya, chilli oil and herbs.",Veg,,,,In Stock
Chef's Specials,,Asian Apple salad,₹207,,"Crisp apples, nuts, fresh lettuce, capcicum, cucumber, tomato, onions and. dressing.",Veg,,,,In Stock
Buns And Breads,,Caramelised Banana French Toast [Egg],₹120,,,Non-Veg,,,Yes,In Stock
Buns And Breads,,Bun Omelette,₹90,,,Non-Veg,,,,In Stock
Buns And Breads,,Bread pizza,₹116,,"Pizza sauce spread over the bread with onions, capsicum and tomatoes and layer cheese. sprinkle herbs and chilli flakes.",Veg,,,Yes,In Stock
