category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Summer Specials,,Mango Matcha,₹345,,"343 gram | A refreshing blend of alphonso mango, ceremonial-grade matcha, and chilled milk.  [Energy: 211 kcal, Allergen: milk, Protein: 6.9g, Carbohydrates: 32.3g, Fat: 7g]",Veg,,,,In Stock
Summer Specials,,Pineapple Jalapeno Spritzer,₹275,,"330 gram | A fresh, sparkling drink with the sweetness of pineapple and the kick of jalapeño.  [Energy: 107.6 kcal, Protein: 0.3g, Carbohydrates: 28.2g, Fat: 0.1g]",Veg,,,,In Stock
Summer Specials,,Mango Smoothie,₹325,,"325 gram | The season's favorite fruit, blended with chilled milk.  [Energy: 269.1 kcal, Allergen: milk, Protein: 5.6g, Carbohydrates: 52g, Fat: 5.7g]",Veg,,,,In Stock
Summer Specials,,Lychee Lemon Spritzer,₹275,,"330 gram | A sparkling drink with the sweet juiciness of lychee, paired with zesty lemon.  [Energy: 78.7 kcal, Protein: 0.1g, Carbohydrates: 31.8g, Fat: 0.1g]",Veg,,,,In Stock
Summer Specials,,Dirty Matcha,₹380,,"343 gram | Iced matcha latte, topped off with a cloud of whipped cream and espresso.  [Energy: 259.8 kcal, Allergen: milk, Protein: 6.9g, Carbohydrates: 30.5g, Fat: 12.6g]",Veg,,,,In Stock
Brewed Coffee,Hot Coffee,Vanilla Bean Latte,₹285,,"260 ml | Our signature espresso with milk and house-made vanilla syrup, crafted using real vanilla beans.  [Energy: 165.39 kcal, Allergen: milk, Protein: 6.47g, Carbohydrates: 19.22g, Fat: 7.04g]",Veg,5.0,2,,In Stock
Brewed Coffee,Hot Coffee,Espresso,₹210,,"40 ml | A single shot of espresso. Clean and bold.  [Energy: 20 kcal, Protein: 1.12g, Carbohydrates: 3.72g, Fiber: 0g, Fat: 0.2g]",Veg,5.0,30,,In Stock
Brewed Coffee,Hot Coffee,Americano,₹225,,"200 ml | Hot water and espresso. Straightforward and full-flavored.  [Energy: 23 kcal, Protein: 1.31g, Carbohydrates: 4.37g, Fiber: 0g, Fat: 0.23g]",Veg,4.8,202,Yes,In Stock
Brewed Coffee,Hot Coffee,Cortado,₹240,,"100 ml | Espresso with 60ml of textured milk. (brewed using our finest house blend - silver oak cafe blend - made with some of india's highest scoring coffee beans. ) [Energy: 63 kcal, Allergen: milk, Protein: 3.08g, Carbohydrates: 6.68g, Fiber: 0g, Fat: 2.89g]",Veg,5.0,47,,In Stock
Brewed Coffee,Hot Coffee,Flat White,₹250,,"240 ml | Espresso with hot milk and a thin layer of microfoam. (brewed using our finest house blend - silver oak cafe blend - made with some of india's highest scoring coffee beans. ) [Energy: 146 kcal, Protein: 6.92g, Carbohydrates: 10.79g, Fiber: 0g, Fat: 8.52g]",Veg,4.6,112,,In Stock
