category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Savouries,,Maddur Vade 150gm,₹60,,,Veg,4.6,98,Yes,In Stock
Savouries,,Muruku 200gm,₹80,,,Veg,5.0,2,,In Stock
Savouries,,Khara Boondi 200gm,₹80,,,Veg,4.8,30,,In Stock
Savouries,,Garlic Mixture 200gm,₹80,,,Veg,,,,In Stock
Savouries,,Masala Kadale 200gm,₹80,,,Veg,4.7,3,,In Stock
Savouries,,Mixture 200gm,₹80,,,Veg,,,,In Stock
Savouries,,Masala Congress 200gm,₹85,,,Veg,4.6,49,,In Stock
Savouries,,Rice Kodubale,₹80,,,Veg,4.6,4,,In Stock
Savouries,,Om Pudi 150gm,₹60,,,Veg,4.4,31,,In Stock
Savouries,,Banana Salt 150gm,₹90,,,Veg,5.0,2,,In Stock
Savouries,,Bombay Mixture 200gm,₹80,,,Veg,4.8,4,,In Stock
Savouries,,Banana Masala 150gm,₹90,,,Veg,,,,In Stock
Savouries,,Rava Kodubale 200gm,₹80,,,Veg,5.0,1,,In Stock
Savouries,,Masala Avalakki 150gm,₹70,,,Veg,4.8,50,,In Stock
Savouries,,Mota Sev 200gm,₹80,,,Veg,,,,In Stock
Savouries,,Shankara Pali 200gm,₹80,,,Veg,4.9,23,,In Stock
Ready Mixes,,By2batter,₹90,,,Veg,4.6,855,Yes,In Stock
Ready Mixes,,Spl Idli Batter,₹95,,,Veg,4.9,12,,In Stock
Ready Mixes,,Puliogare Masala 250gm,₹125,,,Veg,4.3,5,,In Stock
Ready Mixes,,Rava Idly Mix,₹125,,,Veg,5.0,4,,In Stock
Ready Mixes,,Bisibelebath Pudi Masala,₹80,,,Veg,4.5,7,,In Stock
Ready Mixes,,Vangibath Pudi Masala 100gm,₹80,,,Veg,4.6,5,,In Stock
Ready Mixes,,Rasam Pudi Masala 100gm,₹90,,,Veg,,,,In Stock
Ready Mixes,,Spl Kundapra Rasam Masala 100gm,₹90,,,Veg,,,,In Stock
Ready Mixes,,Samber Pudi Masala 100gm,₹80,,,Veg,,,,In Stock
Sweets,,Badam Halwa,₹50,,,Veg,4.6,12,,In Stock
Sweets,,Ghee Mysore Pak,₹50,,,Veg,5.0,2,,In Stock
