category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Bacon,₹190,,,Non-Veg,5.0,3,Yes,In Stock
Recommended,,Hash Brown,₹150,,,Veg,4.9,6,Yes,In Stock
Recommended,,Chicken Sausage,₹180,,,Non-Veg,3.6,170,,In Stock
Recommended,,Mashed Potato,₹170,,,Veg,3.5,150,,In Stock
Recommended,,Chicken Pepperoni,₹180,,,Non-Veg,3.3,7,,In Stock
Recommended,,Chicken Salami,₹180,,,Non-Veg,3.8,20,,In Stock
Recommended,,Chicken Ham,₹180,,,Non-Veg,3.9,13,,In Stock
Recommended,,Chocolate Milkshake,₹240,,,Veg,4.6,49,,In Stock
All Day Breakfast,,All Mighty English Breakfast,₹499,,"A breakfast spread comprising of chicken sausages, bacon(pork)/ additional chicken sausage, 2 eggs (sunny side up/ both side fried/  scrambled egg, plain omelette), baked beans, sauteed mushrooms, mashed potato/hash brown & grilled tomato. Served along with 2 slices of bread and butter.",Non-Veg,4.1,15,Yes,In Stock
All Day Breakfast,,Cant Get Any Pigger,₹579,,"A breakfast spread of bacon (pork), pork sausages, pork ham,2 eggs(sunny side up/both side fried/scrambled/plain omelette) sauteed mushrooms, mashed potato/hash brown & grilled tomato. Served along with 2 slices of bread and butter.",Non-Veg,4.4,8,Yes,In Stock
All Day Breakfast,,Nice To Meat You - Chicken,₹575,,"A breakfast mix of chicken salami, chicken ham, chicken sausages tossed with veggies and hash brown, topped up with both side fried/scrambled/plain omelette. Served along with 2 slices of bread and butter.",Non-Veg,4.4,6,,In Stock
All Day Breakfast,,Sunshine In A Pan (Egg Only),₹485,,"A breakfast with 2 eggs pan fried (single side fried) topped with mushrooms, spinach and cheese alongside sauteed mushrooms, baked beans, mashed potato, grilled tomato. Served along with 2 slices of bread and butter.",Non-Veg,4.5,395,,In Stock
All Day Breakfast,,Murrican Invasion,₹499,,"A breakfast comprising bacon(pork)/ chicken sausages, 2 eggs( sunny side up/ both side fried/ scrambled egg/ plain omelette),2 pancakes with maple syrup. Served along with 2 slices of bread and butter.",Non-Veg,2.6,5,,In Stock
All Day Breakfast,,Hash Hotch Potch,₹480,,"A breakfast mix of cottage cheese, corns, peas, mushrooms, capsicum, olives, jalapenos and hash browns. Served along with 2 slices of bread and butter.",Veg,4.4,144,Yes,In Stock
All Day Breakfast,,Goan Gala,₹620,,Sauteed goan sausage (pork) on a bed of mashed potato. This breakfast is served along with 2 slices of bread and butter.,Non-Veg,4.6,31,,In Stock
All Day Breakfast,,Nice To Meat You - Pork,₹620,,"A breakfast mix of pork pepperoni, bacon, pork sausage tossed with veggies and hash brown, topped up with both side fried/scrambled/plain omelette. Served along with 2 slices of bread and butter.",Non-Veg,4.5,132,,In Stock
All Day Breakfast,,Sunshine in A Pan (Non-Veg),₹520,,"2 eggs pan fried (single side fried) topped with meat of your choice (chicken sausage/pork sausage/bacon)and cheese alongside sauteed mushrooms, baked beans, mashed potato/hash brown, grilled tomato. This breakfast is served along with 2 slices of bread and butter.",Non-Veg,4.0,3,,In Stock
All Day Breakfast,,A Brave Heart For Frittata,₹580,,"A 4 egg italian omelette with a mix of bacon, mushrooms, spinach, capsicum. Served along with 2 slices of bread and butter.",Non-Veg,5.0,9,,In Stock
