category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Chocolate shake,₹99,,"Velvety and rich, this indulgent chocolate shake is a decadent treat that will satisfy your sweet tooth.",Veg,,,,In Stock
Recommended,,Vanilla shake,₹99,,"A creamy and indulgent treat, this Vanilla Shake is a luscious delight that satisfies your sweet tooth.",Veg,,,,In Stock
Recommended,,Pista shake,₹80,,"A delectable and refreshing blend of flavors, this pista shake is a veg delight that will leave you wanting more.",Veg,,,,In Stock
Recommended,,Mix dry fruit shake,₹149,,"A delightful blend of assorted dry fruits, creating a delectable shake perfect for any shake lover.",Veg,,,,In Stock
Recommended,,Kiwi banana,₹120,,A refreshing and fruity shake with a delightful blend of kiwi and banana flavors.,Veg,,,,In Stock
Recommended,,Pomegranate shake,₹160,,"A refreshing and luscious blend bursting with the tangy sweetness of pomegranate, this veggie shake is the ultimate treat.",Veg,,,,In Stock
Recommended,,Apple shake,₹160,,"A refreshing blend of smooth, fruity flavors that capture the essence of juicy apples.",Veg,,,,In Stock
Recommended,,Banana shake,₹99,,A velvety and refreshing blend that captures the essence of bananas in every sip.,Veg,,,,In Stock
Recommended,,Protein shake,₹170,,"A nutritious and satisfying blend crafted to energize and nourish your body, providing a burst of flavor in every sip.",Veg,,,,In Stock
Recommended,,Ginger lemon,₹60,,"A refreshing blend of zesty lemon and invigorating ginger, this vibrant juice is bursting with flavor and vitality.",Veg,,,,In Stock
Recommended,,Veg maggi,₹70,,A delightful and flavorful vegetarian twist on the classic Maggi dish.,Veg,,,,In Stock
Recommended,,Plain maggi,₹100,,A simple and comforting vegetarian delight that will warm your heart and tickle your taste buds.,Veg,,,,In Stock
Recommended,,Cheese chilli,₹120,,"Indulge in a delectable fusion of creamy cheese and a burst of tangy flavors, offering a delightful twist to the classic Maggi.",Veg,,,,In Stock
Recommended,,Paneer cheese,₹140,,"Creamy paneer cheese in a savory Maggi sauce, a delectable vegetarian delight.",Veg,,,,In Stock
Recommended,,Egg maggi,₹120,,"A delectable combination of savory flavors, featuring the perfect blend of tender egg and mouthwatering Maggi noodles.",Non-Veg,,,,In Stock
Recommended,,Pizza Sandwich,₹170,,"Filled with Chopped onion and tomatoes capsicums and chopped paneer melted cheese and sweet corns
Pizza sauce",Veg,,,,In Stock
Recommended,,Chocolate grilled sandwich,₹145,,"A delectable grilled sandwich combining the richness of chocolate with a savory twist, perfect for those craving a delightful blend of sweet and savory flavors.",Veg,,,Yes,In Stock
