category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Avocado Papdi Chaat,₹380,,,Veg,3.4,4,,In Stock
Recommended,,Classic Green Tea,₹150,180 Ml: ₹150 | 400 Ml: ₹240,Pure green tea leaves,Veg,,,,In Stock
Recommended,,Lemon Black Tea,₹150,180 Ml: ₹150 | 400 Ml: ₹240,Black tea brewed with a sprinkle of lemon juice,Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Italian Alfredo Penne - Veg,₹340,,"Penne pasta tossed in creamy in-house green basil and garlic sauce, exotic veggies and parmesan cheese",Veg,,,Yes,In Stock
"Pasta, Gnocchi & Ravioli",,Pesto Sauce Pasta - Non Veg,₹380,,"Penne pasta tossed in creamy in-house green basil and garlic sauce, exotic veggies, grilled chicken and parmesan cheese",Non-Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Pink Sauce Penne Pasta - Non Veg,₹380,,"Penne pasta tossed in a unique blend of inhouse red and white sauces, exotic veggies, oregano and chilli flakes with chicken",Non-Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Italian Alfredo Penne Pasta - Non Veg,₹360,,"Penne pasta tossed in creamy in-house white sauce, exotic veggies / grilled chicken, olives and oregano with chicken",Non-Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Mushroom & Truffle Oil Gnocchi Pasta,₹440,,"Potato dumpling gnocchi tossed with creamy garlic butter, sauteed mushrooms and thyme, topped with truffle oil and parmesan cheese",Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Pesto Sauce Pasta - Veg,₹340,,"Penne pasta tossed in creamy in-house green basil and garlic sauce, exotic veggies and parmesan cheese",Veg,4.4,5,,In Stock
"Pasta, Gnocchi & Ravioli",,Arrabbiata Penne Pasta- Veg,₹340,,"Penne pasta tossed in tangy in-house red sauce, exotic veggies / grilled chicken, olives and chilli flakes",Veg,4.9,3,,In Stock
"Pasta, Gnocchi & Ravioli",,Spinach & Ricotta Ravioli Pasta,₹480,,Fresh pasta dough filled with ricotta and spinach tossed in creamy in-house parmesan sauce,Non-Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Aglio E Olio Spaghetti Pasta - Non Veg,₹340,,Spaghetti pasta tossed in aromatic olive oil with garlic and a touch of chilli with chicken,Non-Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Arrabbiata Penne Pasta - Non Veg,₹380,,"Penne pasta tossed in tangy in-house red sauce, exotic veggies / grilled chicken, olives and chilli flakes with chicken",Non-Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Butter Emulsion Mushroom Fettuccine Pasta,₹460,,"Fettuccine tossed in butter and truffle oil with button mushrooms, parsley and topped with parmesan cheese",Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Smoked Chicken Fettuccine Pasta,₹440,,"Fettuccine tossed in spicy red bell pepper sauce, smoked chicken and drizzled with olive oil and parmesan cheese",Non-Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Smoked Tomato Fettuccine Pasta,₹440,,"Fettuccine tossed in spicy red bell pepper sauce, sundried tomato, exotic veggies and drizzled with olive oil and parmesan cheese",Veg,,,,In Stock
"Pasta, Gnocchi & Ravioli",,Pink Sauce Penne Pasta - Veg,₹320,,"Penne pasta tossed in a unique blend of inhouse red and white sauces, exotic veggies, oregano and chilli flakes",Veg,4.3,4,,In Stock
"Pasta, Gnocchi & Ravioli",,Aglio E Olio Spaghetti Pasta- Veg,₹290,,Spaghetti pasta tossed in aromatic olive oil with garlic and a touch of chilli,Veg,4.8,5,,In Stock
