category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Sandwich Sillys,,Bombay Chutney & Cheese,₹395,,Mumbaia Street Style Sandwich With Cucumbers Onions Potatoes And Fresh Tomato Tangy Spicy Bombay Chutney&Cheese Between Slices Of Bread.,Veg,,,,Check app
Sandwich Sillys,,Paneer Tikka Sandwich,₹415,,Char Grilled Paneer Tikka And Cheese Sandwiched And Grilled Between The Breads,Veg,,,,Check app
Sandwich Sillys,,Classic Grilled Veg Cheese,₹395,,Classic Comfort Food Thats Simple Yet Satisfying Thin Slices Of Cheese Grilled To Perfection Between The Breads,Veg,,,,Check app
Sandwich Sillys,,Pesto Paneer & Pepper Panini,₹415,,Pesto Marinated Paneer And Roast Red Pepper Topped With Cheddar Cheese And Hot Pressed.,Veg,,,,Check app
Sandwich Sillys,,Country Roast Chicken Panini,₹415,,"Slices Of Roasted Chicken, Complemented By Grilled Onions And Olives With Cheese And Grilled To Perfection.",Non-Veg,,,,Check app
Steak Maestro,,Garlic Greek Chicken,₹544,,"Grilled Garlic-Coconut Chicken With Greek Herbs, Crispy Rosemary Potatoes, And A Creamy Mushroom Basil Pesto.",Non-Veg,,,,Check app
Steak Maestro,,Spiced Grilled Paprika Paneer,₹500,,"A Delectable Veggie Steak Thick Slices Of Cottage Cheese Marinated In A Blend Of Paprika And Spices, Grilled To Perfection.Served With Herb Rice And Veggies",Veg,,,,Check app
Steak Maestro,,Grilled Chicken Steak With Mashed Potatoes,₹524,,Summertime Open Grill Style Steak Fillet Marinated And Cooked In Olive Oil,Non-Veg,,,,Check app
Steak Maestro,,Tandoori Chicken With Cheesy Makhani Sauce,₹534,,"Grilled Breast Of Chicken In A Tandoori Marinade Accompanied With Jeera Rice,Tandoori Salad And Cheesy Makhani Sauce",Non-Veg,,,,Check app
Steak Maestro,,The Codfather Steak (fish),₹554,,"Grilled Fillet Of Basa Accompanied With Cheese Garlic Sauce,Mash Potato And Grilled Veggies",Non-Veg,,,,Check app
All Day Breakfast,,Mixnosh Veg Breakfast,₹499,,"Sauteed Mushrooms, Baked Beans, Mashed Potatoes, Grilled Veggies With Cheesy Spinach And Corns, Brown Breads",Veg,,,,Check app
All Day Breakfast,,Vegan Mixnosh Signature Breakfast,₹499,,"Hash Brown, Sweet Corns, Jalapenos, Peas Tossed With Mushrooms Accompanied With Grilled Onions & Pepper Potatoes, 2 Fried Eggs, Brown Breads",Veg,,,,Check app
All Day Breakfast,,Mixnosh Non-veg Signature Breakfast,₹514,,"Chicken Sausages, Chicken Bacon Strips, Mashed Potatoes, 2 Fried Eggs, Brown Breads",Non-Veg,,,,Check app
All Day Breakfast,,"Ros Chicken Omelette, Goan Special",₹524,,"The Goan Ros Omelette Is A Delightful Street Food From Goa, Combining A Fluffy Omelette With A Flavorful Chicken Curry, Served With Pau.",Non-Veg,,,,Check app
All Day Breakfast,,"Ros Mushroom Omelette, Goan Special",₹499,,"The Goan Ros Omelette Is A Delightful Street Food From Goa, Combining A Fluffy Omelette With A Flavorful Mushroom Curry, Served With Pau.",Non-Veg,,,,Check app
All Day Breakfast,,Masala Omlette,₹424,,Everyones Favorite With Vegetables Of The Season,Non-Veg,,,,Check app
All Day Breakfast,,"Croissant With Chicken Ham, Egg & Cheese",₹404,,"A Hearty Combination Of Chicken Ham, A Perfectly Cooked Egg, And Gooey Melted Cheese Over Crisp Sourdough Toast",Non-Veg,,,,Check app
All Day Breakfast,,Croissant With Classic Cheese,₹400,,"All Time Favorite, Classio Cheese Melting In A Crossiant",Veg,,,,Check app
All Day Breakfast,,Shakshuka (non-veg),₹524,,"A Tantalizing Blend Of Poached Eggs In Rich And Spiced Tomato Sauce, Garnished With Herbs And Served With Warm Pau And Garden Salad",Non-Veg,,,,Check app
All Day Breakfast,,Shakshuka (veg),₹514,,"A Tantalizing Blend Of Cottage Cheese With Spiced Tomato Sauce, Garnished With Fresh Herbs And Served With Warm Pau And Garden Salad",Veg,,,,Check app
Coffee,,Espresso,₹260,,,Veg,,,,Check app
Coffee,,Cartado,₹260,,,Veg,,,,Check app
Coffee,,Cappuccino,₹283,,,Veg,,,,Check app
Coffee,,Hazelnut Delight,₹296,,,Veg,,,,Check app
Coffee,,Flat White,₹296,,,Veg,,,,Check app
Coffee,,Cafe Mocha,₹294,,,Veg,,,,Check app
Coffee,,Americano (hot Or Cold),₹283,,,Veg,,,,Check app
Coffee,,Cafe Latte,₹283,,,Veg,,,,Check app
Coffee,,Classic Hot Chocolate,₹294,,,Veg,,,,Check app
Pastas,,Alfredo Penne Pasta,₹454,,Penne Pasta In Rich Cheesy Bechamel Topped With Parmesan,Veg,,,,Check app
Pastas,,Rich Macaroni & Cheese,₹464,,American Inspired Classic Mac N Cheese,Veg,,,,Check app
Pastas,,Penne Sugo Al Arrabiata,₹484,,Penne Pasta In Rich Tomato Sauce Flavoured With Garlic And Basil Topped With Parmesan,Veg,,,,Check app
Pastas,,Agli E Olio,₹494,,"Traditional Spaghetti In Olive Oil, Sun Dried Tomato, Black Olives And Grated Parmesan",Veg,,,,Check app
Pastas,,P.p.p (pesto Penne Pasta),₹512,,"Traditional Spaghetti In Olive Oil, Basil, Sun Dried Tomato, Black Olives And Grated Parmesan",Veg,,,,Check app
Burgers,,Peri Peri Chicken Burger,₹424,,Fiery Afro Spiced Grilled Breast Of Chicken Served Under A Bun Topped With Fried Egg And Cheese Sauce A Spicy Lovers Delight,Non-Veg,,,,Check app
Burgers,,Tandoori Aloo Chokha,₹374,,Traditional Indian Flavors With A Modern Twist A Hearty Burger Patty Made From Spiced Tandoori Potatoes Sandwiched Between Soft Burger Buns,Veg,,,,Check app
Burgers,,Crumb Cottage Cheese,₹384,,"Smooth, Creamy Crispy Cottage Cheese Patty Crumb Fried To Perfection A Must Try",Veg,,,,Check app
Burgers,,The Og Chicken Burger,₹424,,A Timeless Classic Grilled Chicken Patty Served Under A Bun With Cheese,Non-Veg,,,,Check app
Lebanese,,Hummus & Pita,₹364,,"Dive Into A Delightful Duo Of Creamy Hummus And Warm Pita Bread,A Mediterranean Marvel. Served With Baba Gannush",Veg,,,,Check app
Lebanese,,Veg Falafel Bites,₹350,,"Crispy On The Outside, Tender And Flavorful On The Inside, Blend Of Chickpeas, Herbs, And Spices Served With Garlic Aloli And Sweet Tom Chilli, Served With Hung Curd & Hummus",Veg,,,,Check app
