category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
South Indian,,Idli 2 Pieces No Samber,₹60,,,Veg,4.7,142,Yes,Check app
South Indian,,Vada No Samber,₹45,,,Veg,4.6,1.0K+,,Check app
South Indian,,Benne Masala Dosa,₹100,,,Veg,4.7,1.2K+,Yes,Check app
South Indian,,Kesari Bath,₹55,,,Veg,4.7,2.2K+,Yes,Check app
South Indian,,Chow Chow Bath,₹90,,A wholesome meal from Karnataka comprising of a savory rava bath or upittu and a sweet kesari bath.,Veg,4.3,1.0K+,Yes,Check app
South Indian,,Khara Bath,₹55,,,Veg,4.7,2.8K+,Yes,Check app
South Indian,,Plain Dosa,₹100,,,Veg,4.6,600,,Check app
South Indian,,Masala Dosa,₹100,,,Veg,4.7,4.7K+,,Check app
South Indian,,Shavige Bath,₹90,,,Veg,4.0,6,,Check app
South Indian,,Bisibele Bhath,₹80,,,Veg,4.7,9,,Check app
Ready Mixes,,By2batter,₹90,,,Veg,4.6,855,Yes,Check app
Ready Mixes,,Spl Idli Batter,₹95,,,Veg,4.8,13,Yes,Check app
Ready Mixes,,Puliogare Masala 250gm,₹125,,,Veg,3.8,6,Yes,Check app
Ready Mixes,,Rava Idly Mix,₹125,,,Veg,5.0,4,Yes,Check app
Ready Mixes,,Rasam Pudi Masala 100gm,₹90,,,Veg,,,,Check app
Ready Mixes,,Spl Kundapra Rasam Masala 100gm,₹90,,,Veg,,,,Check app
Ready Mixes,,Bisibelebath Pudi Masala,₹80,,,Veg,4.5,7,,Check app
Ready Mixes,,Samber Pudi Masala 100gm,₹80,,,Veg,,,,Check app
Ready Mixes,,Vangibath Pudi Masala 100gm,₹80,,,Veg,4.6,5,,Check app
Ready Mixes,,Puliogare Masala,₹60,,,Veg,4.6,3,,Check app
Lunch,,Full Meals Bhojanashale,₹300,,,Veg,4.3,169,,Check app
Lunch,,Rice Samber,₹110,,,Veg,4.8,243,,Check app
Lunch,,Chapathi Meals,₹120,,,Veg,4.5,25,,Check app
Lunch,,Rice Rasam,₹110,,,Veg,4.8,120,,Check app
