category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Non - Veg Starters,,Amritsari Fish Tikka.,₹425,,Special Marinated Fish Tikka Cooked Ina Clay Oven Served With Tandoori Spicy Mayonnaise,Non-Veg,,,,Check app
Non - Veg Starters,,Fish Finger.,₹425,,"Boneless Fish Sticks Breaded And Deep Fried, Served With Tartare Sauce",Non-Veg,,,,Check app
Non - Veg Starters,,Bacon Wrapped Prawn.,₹495,,Bacon Strips Wrapped Prawn And Grilled.,Non-Veg,5.0,3,,Check app
Non - Veg Starters,,Mutton Rara Cutlets.,₹595,,Breaded And Deep Fried Cutlets Served With Greek Salad And Coriander Mint Relish,Non-Veg,,,,Check app
Non - Veg Starters,,Tandoori Murgh Half .,₹395,,Chicken Marinated In A Tandoori Masala And Roasted In A Clay Pot Served With Onion Salad,Non-Veg,,,,Check app
Non - Veg Starters,,Mutton Seekh Kebab.,₹495,,Juicy Lamb And Fresh Herbs Minced Together And Cooked In A Clay Pot Served With Onion Salad,Non-Veg,,,,Check app
Non - Veg Starters,,Chicken Lollipop.,₹375,,Spicy Marinated Lolly Pop Deep Fried And Served With Hot Garlic Sauce,Non-Veg,,,,Check app
Non - Veg Starters,,Bacon Wrapped Chicken .,₹395,,Bacon Strips Wrapped Chicken And Grilled.,Non-Veg,5.0,5,,Check app
Non - Veg Starters,,Tandoori Murgh Full.,₹625,,Chicken Marinated In A Tandoori Masala And Roasted In A Clay Pot Served With Onion Salad,Non-Veg,,,,Check app
Non - Veg Starters,,Coorgi Pork.,₹495,,Twice Cooked Pork Belly With Kodava Spices Mix.,Non-Veg,,,,Check app
Non - Veg Starters,,Trio Chicken Tikka.,₹425,,"Hariyali , Malai , Red Masala Marinated Chicken Cooked In The Clay Pot Served With Coriander  Mint Relish",Non-Veg,,,,Check app
Non - Veg Starters,,Smoked Chicken Kebab.,₹455,,Caribbean Marinated Chicken Kebab Cooked In A Clay Pot Served With Tandoori Mayonnaise,Non-Veg,,,,Check app
Non - Veg Starters,,Ghee Roast  Prawns.,₹475,,Mangalore Buns Topped With Prawns Ghee Roast,Non-Veg,,,,Check app
Non - Veg Starters,,Murgh Malai .,₹425,,Boneless Chicken Marinated In A Creamy Cheese Marinade Served With Coriander Mint Relish,Non-Veg,,,,Check app
Non - Veg Starters,,Barbeque Fish With Basil.,₹445,,Diced Fish Cooked With Mushroom In A Thai Basil Sauce,Non-Veg,,,,Check app
Non - Veg Starters,,Sholay Kebab .,₹475,,"Its Not Fried , Clay Pot Oven Cooked Chicken Topped With Cheese And Egg White Coating",Non-Veg,,,,Check app
Non - Veg Starters,,Peri Peri Chicken.,₹445,,Succulent Chicken Pieces Marinated With Spicy Peri Peri Sauce And Grilled,Non-Veg,,,,Check app
Non - Veg Starters,,Tbc Pan Tossed Chicken .,₹425,,"Deep Fried Chicken Tossed With Mustard Seeds , Curry Leaves  And Seasoning.",Non-Veg,,,,Check app
Non - Veg Starters,,Bbq Chicken Wings.,₹395,,Chicken Wings Tossed In A Hot Barbecue Sauce,Non-Veg,,,,Check app
Non - Veg Starters,,Ghee Roast Chicken .,₹395,,Mangalore Buns Topped With Chicken Ghee Roast,Non-Veg,,,,Check app
Non - Veg Starters,,Chicken Poutine.,₹345,,"French Fries Topped With Shredded Peri Peri Chicken , Onions ,Jalapeno And Gratinated Cheese.",Non-Veg,,,,Check app
Non - Veg Starters,,Egg Chilli.,₹295,,,Non-Veg,,,,Check app
