place_name,maps_url,rating,review_count,scraped_swiggy,swiggy_rest_id,scraped_google
Kapoor's Cafe - HSR Branch,https://www.google.com/maps/place/Kapoor%27s+Cafe+-+HSR+Branch/data=!4m7!3m6!1s0x3bae149ddc069217:0x45ebc528730ee2d5!8m2!3d12.908018!4d77.651948!16s%2Fg%2F11c718l5h7!19sChIJF5IG3J0UrjsR1eIOcyjF60U,3.9,10365,true,
Cafe Here & Now,https://www.google.com/maps/place/Cafe+Here+%26+Now/data=!4m7!3m6!1s0x3bae148e3b6fd49d:0x45c5d354c2cc9192!8m2!3d12.915412!4d77.6320936!16s%2Fg%2F11c45p6yly!19sChIJndRvO44UrjsRkpHMwlTTxUU,4.3,4431,true,64285
Café Coffee Day,https://www.google.com/maps/place/Caf%C3%A9+Coffee+Day/data=!4m7!3m6!1s0x3bae14901acd704b:0xf16892ba8d03cb82!8m2!3d12.9123311!4d77.6413382!16s%2Fg%2F1tcw211f!19sChIJS3DNGpAUrjsRgssDjbqSaPE,4.0,4047,true,7034
Third Wave Coffee,https://www.google.com/maps/place/Third+Wave+Coffee/data=!4m7!3m6!1s0x3bae15d4e7b9855f:0xd0ee7b2b7a5b87ae!8m2!3d12.9099471!4d77.6378504!16s%2Fg%2F11g0lf8zpr!19sChIJX4W559QVrjsRrodbeit77tA,4.3,3881,true,38634
Nivys Resto Cafe & Garden Centre,https://www.google.com/maps/place/Nivys+Resto+Cafe+%26+Garden+Centre/data=!4m7!3m6!1s0x3bae13bc7f951dfd:0xa3851d636c29de68!8m2!3d12.89592!4d77.6582736!16s%2Fg%2F11t3tmvbsm!19sChIJ_R2Vf7wTrjsRaN4pbGMdhaM,4.6,3615,true,
Iris Cafe HSR,https://www.google.com/maps/place/Iris+Cafe+HSR/data=!4m7!3m6!1s0x3bae1534137c8b89:0x2a94a4f81b0c43c7!8m2!3d12.9117913!4d77.6428146!16s%2Fg%2F11qmw7yxw2!19sChIJiYt8EzQVrjsRx0MMG_iklCo,4.2,3179,true,
"Casa Fresco, HSR: All-Day Dining & Café","https://www.google.com/maps/place/Casa+Fresco,+HSR:+All-Day+Dining+%26+Caf%C3%A9/data=!4m7!3m6!1s0x3bae152a1de2d43b:0xb41dc6205dd221a4!8m2!3d12.9207539!4d77.650514!16s%2Fg%2F11rn24923n!19sChIJO9TiHSoVrjsRpCHSXSDGHbQ",4.2,3044,true,
Glen's Bakehouse (HSR Layout),https://www.google.com/maps/place/Glen%27s+Bakehouse+%28HSR+Layout%29/data=!4m7!3m6!1s0x3bae15ee8d22c7e9:0x1dc35415191c45d3!8m2!3d12.9120508!4d77.6482099!16s%2Fg%2F11q3_687cd!19sChIJ6ccije4VrjsR00UcGRVUwx0,4.1,2510,true,17376
Olive Street Food Cafe - HSR LAYOUT,https://www.google.com/maps/place/Olive+Street+Food+Cafe+-+HSR+LAYOUT/data=!4m7!3m6!1s0x3bae15c5abd07643:0xfd7270b827576169!8m2!3d12.9126299!4d77.6530427!16s%2Fg%2F11vqzlvt37!19sChIJQ3bQq8UVrjsRaWFXJ7hwcv0,4.5,2117,true,
Cuppa Redefined - HSR Layout's Neighbourhood Cafe & Restaurant,https://www.google.com/maps/place/Cuppa+Redefined+-+HSR+Layout%27s+Neighbourhood+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x3bae1500de7e9bcf:0x8aa8ec9e1b54f3e1!8m2!3d12.9119932!4d77.6322817!16s%2Fg%2F11j4jx4l_b!19sChIJz5t-3gAVrjsR4fNUG57sqIo,4.4,1996,true,
BANOFFEE,https://www.google.com/maps/place/BANOFFEE/data=!4m7!3m6!1s0x3bae15c49fe55f83:0x6f2e965aa235f068!8m2!3d12.914805!4d77.6383453!16s%2Fg%2F11hz1trxzb!19sChIJg1_ln8QVrjsRaPA1olqWLm8,4.1,1902,true,186263
Third Wave Coffee,https://www.google.com/maps/place/Third+Wave+Coffee/data=!4m7!3m6!1s0x3bae1586de9c9b8d:0xf32168e8537d688b!8m2!3d12.9117774!4d77.6502136!16s%2Fg%2F11qg0fpf4x!19sChIJjZuc3oYVrjsRi2h9U-hoIfM,4.4,1805,true,38634
Ice Treat Cafe,https://www.google.com/maps/place/Ice+Treat+Cafe/data=!4m7!3m6!1s0x3bae149d58fa061f:0xce8998b231022dd7!8m2!3d12.9126909!4d77.6535243!16s%2Fg%2F11fy_0pb5_!19sChIJHwb6WJ0UrjsR1y0CMbKYic4,4.3,1778,true,107398
The Dome Cafe - HSR Layout,https://www.google.com/maps/place/The+Dome+Cafe+-+HSR+Layout/data=!4m7!3m6!1s0x3bae15579ddbadd9:0xa8e4525621934468!8m2!3d12.9122262!4d77.6359496!16s%2Fg%2F11q583x4cr!19sChIJ2a3bnVcVrjsRaESTIVZS5Kg,4.1,1777,true,
"MixNosh | Art Cafe, HSR","https://www.google.com/maps/place/MixNosh+%7C+Art+Cafe,+HSR/data=!4m7!3m6!1s0x3bae153ecf931725:0xa36043b5fd3d2c2d!8m2!3d12.9075026!4d77.6455974!16s%2Fg%2F11w3m7q1rq!19sChIJJReTzz4VrjsRLSw9_bVDYKM",4.8,1657,true,1283997
Cafe Hustle,https://www.google.com/maps/place/Cafe+Hustle/data=!4m7!3m6!1s0x3bae157efeccdf7f:0xe5ecc3141394900a!8m2!3d12.9091244!4d77.6426002!16s%2Fg%2F11hdy_xg07!19sChIJf9_M_n4VrjsRCpCUExTD7OU,4.5,1636,true,203285
Marseli - Cafe & Patisserie,https://www.google.com/maps/place/Marseli+-+Cafe+%26+Patisserie/data=!4m7!3m6!1s0x3bae15986cd066bf:0x40bf419cf6844424!8m2!3d12.9163358!4d77.6491174!16s%2Fg%2F11ygg90zh2!19sChIJv2bQbJgVrjsRJESE9pxBv0A,4.5,1555,true,
Teatings,https://www.google.com/maps/place/Teatings/data=!4m7!3m6!1s0x3bae157632efc489:0x34dc8024e2690303!8m2!3d12.9129181!4d77.6354114!16s%2Fg%2F11vdx6y58y!19sChIJicTvMnYVrjsRAwNp4iSA3DQ,4.6,1333,true,790034
The Pet People Cafe,https://www.google.com/maps/place/The+Pet+People+Cafe/data=!4m7!3m6!1s0x3bae1567d3c11d2f:0xb9d0166f593e29a2!8m2!3d12.9124858!4d77.6444174!16s%2Fg%2F11p0y9zd2m!19sChIJLx3B02cVrjsRoik-WW8W0Lk,4.7,1317,true,520017
North Star Café,https://www.google.com/maps/place/North+Star+Caf%C3%A9/data=!4m7!3m6!1s0x3bae15dc9603fe57:0x9f93efbca38942e5!8m2!3d12.9118841!4d77.6389273!16s%2Fg%2F11vk8hl8nd!19sChIJV_4DltwVrjsR5UKJo7zvk58,4.5,1307,true,812201
Beanlore - HSR Layout,https://www.google.com/maps/place/Beanlore+-+HSR+Layout/data=!4m7!3m6!1s0x3bae15fff842d533:0xb0bfac9edbb39b70!8m2!3d12.9123126!4d77.6416021!16s%2Fg%2F11ssnhdl4b!19sChIJM9VC-P8VrjsRcJuz256sv7A,4.2,1048,true,
The Amrith Cafe,https://www.google.com/maps/place/The+Amrith+Cafe/data=!4m7!3m6!1s0x3bae15c22ce28375:0x7818991508024dcf!8m2!3d12.9150524!4d77.6354945!16s%2Fg%2F11vt47987g!19sChIJdYPiLMIVrjsRz00CCBWZGHg,4.6,1004,true,860302
Blue Tokai Coffee Roasters | HSR Layout,https://www.google.com/maps/place/Blue+Tokai+Coffee+Roasters+%7C+HSR+Layout/data=!4m7!3m6!1s0x3bae15fd7d176395:0xc04cec015aa6198c!8m2!3d12.9127987!4d77.6448112!16s%2Fg%2F11rysknfvr!19sChIJlWMXff0VrjsRjBmmWgHsTMA,4.2,888,true,91628
Amintiri - Cafe | Patisserie | Gifting,https://www.google.com/maps/place/Amintiri+-+Cafe+%7C+Patisserie+%7C+Gifting/data=!4m7!3m6!1s0x3bae1500755f1779:0xc772145af505d93!8m2!3d12.9118597!4d77.6448006!16s%2Fg%2F11xdb4g4qn!19sChIJeRdfdQAVrjsRk11Qr0Uhdww,4.5,831,true,
Coffee makers,https://www.google.com/maps/place/Coffee+makers/data=!4m7!3m6!1s0x3bae15f882152b05:0x214193f8dfc07ed!8m2!3d12.9036967!4d77.6486799!16s%2Fg%2F11mxnnnqsp!19sChIJBSsVgvgVrjsR7Qf8jT8ZFAI,4.5,785,true,2490
LE KENE,https://www.google.com/maps/place/LE+KENE/data=!4m7!3m6!1s0x3bae15261e4d9101:0xb6edc187c7909958!8m2!3d12.9157344!4d77.6445352!16s%2Fg%2F11trrhbcxz!19sChIJAZFNHiYVrjsRWJmQx4fB7bY,4.4,747,true,226209
Tribes Coffee,https://www.google.com/maps/place/Tribes+Coffee/data=!4m7!3m6!1s0x3bae15e9c1e93be3:0x49012a1b967559b9!8m2!3d12.9091028!4d77.6435332!16s%2Fg%2F11xgw1vt66!19sChIJ4zvpwekVrjsRuVl1lhsqAUk,4.8,734,true,
Bramha Cafe,https://www.google.com/maps/place/Bramha+Cafe/data=!4m7!3m6!1s0x3bae1500451069d3:0x85bb2f6dd351ffd6!8m2!3d12.9119397!4d77.6394243!16s%2Fg%2F11ltpxql42!19sChIJ02kQRQAVrjsR1v9R020vu4U,4.1,707,true,966996
